project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Costco Fuel - Dallas Business Center,TABS2026016169,Costco Fuel Station,"8282 Park Ln, Dallas, TX 75231",Dallas,6/22/2026,9/26/2026,"$5,579,380",New Construction,"This project is privately funded, on private land for private use.",Proposed new fuel facility with 24 fueling positions in existing parking lot.,"152,035 ft 2",Costco Wholesale Corp,"999 Lake Drive, Issaquah, Washington 98027",(469) 498-6624,MG2 Architecture Corporation,"1101 Second Ave., Seattle, Washington 98101",(206) 962-6500,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016169,
Commerce Retail,TABS2026016147,2800 Commerce Renovation,"2800 Commerce, Dallas, TX 75226",Dallas,5/15/2026,12/15/2026,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior/exterior Remodel from warehouse to multi-tenant retail ,"12,500 ft 2",2800 Commerce Investors LLC,"2622 Commerce, Dallas, Texas 75226",(214) 217-4306,"Dean Dekker, Architect","6722 Northport, Dallas, Texas 75230",(214) 549-4747,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016147,
Kay Jewelers,TABS2026016145,Galleria Dallas,"13350 Dallas Parkway, Suite 2500, Dallas, TX 75240",Dallas,6/8/2026,6/26/2026,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remodel of an existing Kay Jewelers retail tenant space in Galleria Dallas square footage 1,763. Scope includes new finishes and fixtures in sales floor and the relocation of the safe in the non-sales. No plumbing or mechanical in scope.","1,763 ft 2",GMV Mall Owner LLC,"13350 Dallas Parkway, Suite 3080, Dallas, Texas 75240",(972) 404-4360,"Shremshock Architecture, Inc","7775 Walton Parkway, Suite 250, New Albany, Ohio 43054",614-545-4550,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016145,John Lapham - Signet Kay Jewelers
Oak Cliff Wonder restaurant-Tenant Finish Out,TABS2026016141,Wonder,"2525 Fort Worth Avenue, Dallas, TX 75211",Dallas,4/20/2026,6/29/2026,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Create a Wonder restaurant inside an existing space.,"3,500 ft 2",Tuesday Real Estate,"11451 Broadway Street, Pearland, Texas 77584",(214) 716-4311,"HFA-AE, LTD","1705 S Walton Blvd. Suite 3, Bentonville, Arkansas 72712",479-360-6683,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016141,Djuana Burr
Morley Moss; Phase 2,TABS2026016139,Morley Moss; Phase 2,"3225 Innovative Way, Suite A, Mesquite, TX 75419",Dallas,4/27/2026,8/27/2026,"$1,382,280",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior remodel of an existing building. 1,100 SF expansion on first and second floor. 2,200 SF expansion total.","2,200 ft 2",ALP ARC V GDI INNOVATIVE PROPERTY COMPANY LLC,"1600 MARKET ST, SUITE 2600, PHILIDELPHIA, Pennsylvania 19103",(469) 902-6772,O'Brien Architects,"1722 Routh Street, Suite 122, Dallas, Texas 75201",972.392.5912,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016139,
Garland South Library,TABS2026016118,South Garland Branch Library-Nicholson Memorial Library System,"4845 Broadway Blvd., Garland, TX 75043",Dallas,11/1/2026,4/30/2027,"$2,300,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Single Story-Interior finish out includes new flooring, paint, wall and floor tile, restroom sinks and vanities, new millwork at business center and built-in desk. New security cameras, access controls for staff and monitors in study rooms.","4,000 ft 2",City of Garland,"200 N. Fifth Street, Garland, Texas 75040",(972) 205-2132,720 Design,"9003 Oakpath Lane, Dallas, Texas 75243",214-934-4285,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016118,Karen Archibald
DFW JVs 1 Wheatland Entry Door,TABS2026016116,DFW JVs 1 Wheatland,"4101 West Wheatland Road, Dallas, TX 75237",Dallas,4/27/2026,5/11/2026,"$60,200",Renovation/Alteration,"This project is privately funded, on private land for private use.",Minor Remodel,250 ft 2,HEB LP,"646 S Flores St, San Antonio, Texas 78204",(210) 885-9338,Absolute Design Partners,"32600 US Hwy 281 N, Bulverde, Texas 78163",(210) 885-9338,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016116,
Kid to Kid,TABS2026016114,Hillside Village Shopping Center,"305 W FM RD 1382. Units 403& 406, Cedar Hill, TX 75104",Dallas,4/10/2026,7/10/2026,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Demise wall between two units to create one 6100sq ft retail space, Install LVT flooring, update lights, install clothing racks, paint, replace ceiling tiles","6,100 ft 2",PREP Hillside REAL ESTATE LLC,"1790 Bonanza Dr Suite 201, Park City, Utah 84060",(832) 477-6922,GKA Architects,"800 W AIRPORT FWY, 11TH FL, Irving, Texas 75062",(214) 699-8335,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016114,Takia Nelson
Pilates Addiction,TABS2026016078,White Rock Shopping Center,"9035 Garland Road, Dallas, TX 75218",Dallas,4/24/2026,6/29/2026,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Commercial Tenant finish (TI) buildout to include new walls, , ductwork, building, electrical, mechanical, and plumbing.   ","2,049 ft 2","White Rock SC, LP","2540 Prestonwood Drive, Plano, Texas 75093",214.533.7178,PSA Architects,"8154 Montgomery Rd Suite 200, Cincinnati, Ohio 45236",(513) 984-4000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016078,Joe Larach
BUMC IP CT Renovation,TABS2026016072,Baylor University Medical Center,"3500 Gaston Ave., Dallas, TX 75246",Dallas,5/1/2026,4/30/2027,"$3,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of CT suite to remove existing CT's with 2 larger CT rooms and replace equipment. Total sqft 1975,"1,975 ft 2",Baylor University Medical Center,"301 North Washington Ave. Suite 660, Dallas, Texas 75201",(214) 870-9231,"Perkins Will, Inc.","2218 Bryan Street, Suite 200 Suite 200, Dallas, Texas 75201",(214) 283-8700,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016072,
