project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
MSMC RF Replacement,TABS2026017355,Methodist Southlake Medical Center,"421 E State Hwy 114, Southlake, TX 76092",Tarrant,4/13/2026,7/31/2026,"$538,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Replace RF equipment and renovate room,300 ft 2,Methodist Health System,"1441 N Beckley Ave, Dallas, Texas 75203",(469) 204-6706,Guide Architecture,"1108 Quaker Street Suite 130, Dallas, Texas 75207",(682) 241-6339,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017355,
Ladera at Tavolo Park,TABS2026017323,Shack,"5919 Carmona Trl, Fort Worth, TX 76123",Tarrant,5/1/2026,10/1/2026,"$150,000",New Construction,"This project is privately funded, on private land for private use.",Private supplemental amenity building.,950 ft 2,"TP Ladera, LLC","361 W. Byron Nelson Blvd, #104, Roanoke, Texas 76262",(817) 252-4291,McAdams Co,"4400 State Highway 121, #800, Lewisville, Texas 75056",940-240-1012,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017323,
Victrii.Fit Fitness Facility,TABS2026017294,Victrii.Fit,"1375 S Main St, Keller, TX 76248",Tarrant,6/1/2026,7/25/2026,"$135,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior Renovation of the Rear Building only, totaling about 9,000 sq ft","9,000 ft 2",DAM FIT HOLDINGS LLC,"4558 KELLER HICKS RD, Keller, Texas 76244",817-705-7585,Burnett Design Group,"2012 Custer Pkwy, Richardson, Texas 75080",603-703-3266,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017294,
Back Nine Golf Arlington,TABS2026017284,Back Nine Golf Arlington,"4060 N Collins St, Suite 160, Arlington, TX 76005",Tarrant,4/30/2026,8/14/2026,"$229,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Buildout,"1,694 ft 2",Legacy at Viridian LLC,"2500 NE Green Oaks Blvd, Suite 200, Arlington, Texas 76006",(210) 274-4214,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017284,
TCU Ed Laundrette Hall Renovation,TABS2026017282,Ed Landreth Hall,"2800 South University Drive, Fort Worth, TX 76109",Tarrant,6/1/2026,6/30/2028,"$60,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Full renovation of the building that is approximately 100,000 SF. This includes full MEP upgrades, theater, AV, IT, acoustics, finishes and architectural updates.","100,000 ft 2",Texas Christian University,"2800 S University Drive, Fort Worth, Texas 76109",(817) 257-6467,DLR Group,"1000 Louisiana St, Ste 1950, Houston, Texas 77002",346-266-2422,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017282,
Mary's Creek Water Reclamation Facility,TABS2026017276,Mary's Creek Water Reclamation Facility,"11091 Chapin Road, Fort Worth, TX 76108",Tarrant,10/1/2026,2/1/2030,"$464,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Eight buildings (PTU, Operations, Solids, Chem, Bioreactor Electrical, EQ & PFS Pump and UV Elec/NAOCI) on site with parking located at the operations building. Approx 94,673 SqFt.","94,673 ft 2",City of Fort Worth,"200 Texas St, Fort Worth, Texas 76102",(817) 266-1394,Jacobs,"1999 Bryan Street, Suite 3500, Dallas, Texas 75201",(817) 703-6791,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017276,
American Express DFW Centurion Lounge,TABS2026017273,DFW International Airport,"2333 S. International Parkway, Dfw Airport, TX 75261",Tarrant,4/14/2026,11/19/2027,"$35,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","18,000 SF interior renovation of existing lounge and expansion into adjacent lease space","18,000 ft 2",City of Dallas/DFW Airport Division,"DFW International Airport P.O. Box 619428, DFW Airport, Texas 75261",(972) 973-1784,Corgan Associates,"401 N Houston, Dallas, Texas 75202",214-208-1271,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017273,Frank Bellia
Rita Lane Improvements Project,TABS2026017243,Rita Lane Improvements Project,"Rita Lane, Haltom City, TX 76117",Tarrant,6/5/2026,6/25/2027,"$259,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",New sidewalks and curb ramps will be installed along the adjacent roadways.,"10,000 ft 2",City of Haltom City,"4801 Haltom Road, Haltom City, Texas 76117",817227748,Kimley-Horn,"801 Cherry St. Ste 1300, Unit 11, Fort Worth, Texas 76102",817-900-8525,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017243,
Bell Flight Plant 6 Pavement Repair,TABS2026017238,Plant 6 Systems Integration Lab Building,"600 Interstate 20 East, Arlington, TX 76018",Tarrant,4/15/2026,10/31/2026,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Repair and replacement of 3,500 SF of existing pavement cracking, and new improvements for storm drain of the area","3,500 ft 2",Bell Textron Inc,"3255 Bell Flight Boulevard, Fort Worth, Texas 76118",(817) 235-9882,"Baird, Hampton & Brown, Inc","6300 Ridglea Place Suite 700, Fort Worth, Texas 76116",(817) 456-7724,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017238,
Bell Flight Plant 6 SIL Bay 2 Control Room,TABS2026017226,Plant 6 Systems Integration Lab Building,"600 E Bardin Road, Arlington, TX 76018",Tarrant,4/15/2026,8/31/2026,"$1,400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Finishout of 6,000 SF of existing shell space in Bell's SIL Lab building to be a new control room/flight simulator space","6,000 ft 2",Bell Textron Inc,"3255 Bell Flight Boulevard, Fort Worth, Texas 76118",(817) 235-9882,"Baird, Hampton & Brown, Inc","6300 Ridglea Place Suite 700, Fort Worth, Texas 76116",(817) 456-7724,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017226,
Woodland Heights Baptist Church,TABS2026017207,Woodland Heights Baptist Church,"3712 Central Drive, Bedford, TX 76021",Tarrant,6/1/2026,3/1/2027,"$2,300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of worship hall including alterations to some exterior openings and new concrete sidewalks,"7,157 ft 2",Woodland Heights Baptist Church,"3712 Central Drive, Bedford, Texas 76021",(214) 837-6684,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026017207,
