project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
THDN Cath Lab 1 Replacement,TABS2025025476,Texas Health Presbyterian Hospital Denton,"3000 I35 Frontage Road, Denton, TX 76201",Tarrant,8/31/2025,3/31/2026,"$1,900,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Replacement of Cath Lab Equipment in-place, finish renovation of Special Procedure room",800 ft 2,Ronald Braswell,"9330 Amberton Parkway, Dallas, Texas 75231",(214) 345-5276,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025476,,,,
SPROUTS CASE & WALK-IN REPLACEMENT,TABS2025025459,SPROUTS FARMERS MARKET,"4650 SW LOOP 820, Fort Worth, TX 76109",Tarrant,9/15/2025,12/15/2025,"$166,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","INSTALLATION OR NEW FIXTURES AND EQUIPMENT, INCLUDING MODIFICATIONS TO ASSOCIATED ELECTRICAL, MECHANICAL, PLUMBING & REFRIGERATION SYSTEMS","1,048 ft 2",SPROUTS FARMERS MARKET,"5455 EAST HIGH STREET, SUITE 111, PHOENIX, Arizona 85054",(480) 440-6562,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025459,"NADEL STUDIO ONE, INC.","7300 EAST GREENWAY PARKWAY, SUITE 180, SCOTTSDALE, Arizona 85254",480.998.4200,
RaceTrac #2306 Mayfield 6K Remodel,TABS2025025423,RaceTrac #2306 Mayfield,"3310 S. Cooper St., Arlington, TX 76015",Tarrant,1/1/2026,9/1/2026,"$835,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Modify existing equipment line to incorporate new grab-n-go offer, remove equipment & relocate equipment throughout sales floor, scope to include architectural, plumbing, mechanical electrical trades.","5,928 ft 2",RaceTrac Inc.,"200 Galleria Parkway Southeast Suite 900, Atlanta, Georgia 30339",(770) 431-7600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025423,Hill Foley Rossi & Associates,"3680 Pleasant Hill Road Suite 200, Duluth, Georgia 30096",(770) 622-9858,
City of Keller Sidewalk Additions Project,TABS2025025396,N/A,"City of Keller Public Right of Way, Keller, TX 76244",Tarrant,8/11/2025,11/30/2025,"$210,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Installation of new sidewalks and ramps at multiple locations throughout the City of Keller's public right-of-way area is estimated at 7,690 SF","7,690 ft 2",City of Keller,"1100 Bear Creek Parkway, Keller, Texas 76248",(817) 743-4082,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025396,"Neel-Schaffer ,Inc.","2501 Avenue J, Suite120, Arlington, Texas 76006",(682) 348-5808,
Standard Motor Products,TABS2025025392,1801 Waters Ridge,"1801 Waters Ridge Rd. Suite 100, Lewisville, TX 75057",Tarrant,10/15/2025,2/18/2026,"$680,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Warehouse office and restroom expansion within warehouse shell,"5,800 ft 2",Nuveen,"2300 N. Field St. Suite 1650, Dallas, Texas 75201",(972) 982-8550,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025392,,,,
Autobahn Master Campus,TABS2025025384,Autobahn BMW,"River Ranch Blvd., Fort Worth, TX 76132",Tarrant,9/11/2025,9/11/2027,"$24,500,000",New Construction,"This project is privately funded, on private land for private use.","Construction of a new automobile showroom with service reception/service drive, parts storage, parts second floor, mezzanine, service workshop and headquarters for Autogroup.","93,559 ft 2","Autobahn Realty Partners II, LLC.","2201 Main St., Suite 3100, Fort Worth, Texas 76102",(817) 390-8503,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025384,"Goree Architects, Inc.","5151 San Felipe St., Suite 1700, Houston, Texas 77056",(713) 660-6102,Brendan Harrington
QuikTrip #959 Fryer Project,TABS2025025362,QuikTrip #959,"5300 McCart Avenue, Fort Worth, TX 76133",Tarrant,11/2/2025,11/17/2025,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Reorganization of existing kitchen equipment and addition of new fryer units.  300 sf.,300 ft 2,QuikTrip Corporation,"1120 N. Industrial Blvd., Euless, Texas 76039",(817) 786-3191,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025362,"Daniel D. Filuk, Architect","1747 E. Morten Ave., Suite 111, Phoenix, Arizona 85020",(602) 234-1868,
Holloway Company Office,TABS2025025348,Holloway Company Office,"1200 Jarvis Rd., Saginaw, TX 76179",Tarrant,8/18/2025,2/15/2026,"$850,000",New Construction,"This project is privately funded, on private land for private use.",CONSTRUCT NEW OFFICE BUILDING AND RELATED PARKING IMPROVEMENTS BLDG.,"5,000 ft 2",Lynton Holloway,"1200 Jarvis Rd., Saginaw, Texas 76179",(817) 271-7558,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025348,,,,
OB Mac Interior Remodel,TABS2025025337,OB Mac,"108 South Freeway, Fort Worth, TX 76104",Tarrant,9/1/2025,12/23/2025,"$1,100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior remodel of existing space to update finishes, electrical, mechanical and plumbing","14,856 ft 2","OBMac, LLC","710 S. Main St., Fort Worth, Texas 76104",(817) 898-8515,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025337,Studio 97w,"901 S. Main St., Fort Worth, Texas 76104",(817) 882-6940,
Accessibility Upgrades to the Fort Worth Transitional Center for CoreCivic,TABS2025025326,CoreCivic,"600 North Henderson Street, Fort Worth, TX 76107",Tarrant,9/1/2025,3/1/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","3,100 square-foot renovation project at an existing Transitional Center (Halfway House) facility for the primary purpose of improving accessibility.","3,100 ft 2",CoreCivic,"5501 Virginia Way, Suite 110, Brentwood, Tennessee 37027",(615) 521.6137,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025025326,Schwarz-Hanson Architects,"2627 Tillar Street, Suite 131, Fort Worth, Texas 76107",(817) 377-3600,
