project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Dirty Dough Southlake,TABS2024018318,Wyndamm Plaza,"2600 E. Southlake Blvd Suite 170, Southlake, TX 76092",Tarrant,6/10/2024,8/16/2024,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Franchise build out for Dirty Dough bakery. Demolition, construction of walls, counter, telework, plumbing, installation of equipment - typically in a take away bakery. ","1,500 ft 2",Stonewood Investments,"18484 Preston Road Suite 208, dallas, Texas 75252",(972) 758-9800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018318,,,,
Elana Caring Office,TABS2024018306,Fielder Plaza,"421 Fielder North Plaza Suite 421, Arlington, TX 76012",Tarrant,6/3/2024,8/3/2024,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior tenant build-out,"3,617 ft 2",Fielder Plaza L P,"3102 Maple Ave., Dallas, Texas 75201",(214) 720-3662,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018306,Jordan Architects LLC,"402 W Wheatland rd Suite 102, Duncanville, Texas 75116",(972) 572-6777,
SPINXPRESS LAUNDRY,TABS2024018290,SPINXPRESS LAUNDRY,"8662 Camp Bowie West Blvd, Fort Worth, TX 76116",Tarrant,10/31/2024,12/31/2024,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","This is an existing vacant lease space of 4,650 SF to be a spinxpress of 4,650 sf","4,650 ft 2",SV VEGAR TRAIL LLC,"1901 N AKARD STREE, DALLAS, Texas 75201",(214) 674-6898,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018290,,,,BHAVIN PATEL
S. Hulen St. and South Dr. HSIP,TABS2024018266,S. Hulen St.,"S. Hulen St. and South Dr. Intersection, Fort Worth, TX 76132",Tarrant,10/1/2024,3/31/2025,"$74,550",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Intersection Improvement - improve traffic signals, install flashing yellow arrow","7,506 ft 2",City of Fort Worth,"200 Texas St, Fort Worth, Texas 76102",(817) 682-3181,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018266,Halff,"2601 Meacham Blvd, Fort Worth, Texas 76137",(817) 764-7497,
7-11,TABS2024018246,7-ELEVEN,"5151 N Tarrant Pkwy, Fort Worth, TX 76244",Tarrant,6/3/2024,5/5/2025,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior remodel, consisting of some minor plumbing and electrical work. In addition, equipment swap out and casework.","4,953 ft 2",7-ELEVEN,"3200 Hackberry Rd., Irving, Texas 75063",(813) 751-4554,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018246,Cornerstone Consulting,"1176 N Irving Street, Allentown, Pennsylvania 18109",(610) 820-8200,
"Five Below - Hulen, TX (Renovation)",TABS2024018237,Overton Park Plaza,"4820 SW Loop 820, Fort Worth, TX 76109",Tarrant,8/12/2024,8/26/2024,"$50,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior renovation, updating sales fixtures and finishes, etc.","8,390 ft 2",Fidelis,"4500 Bissonnet St., Bellaire, Texas 77401",713-693-1437,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018237,Sargenti Architects,"461 From Rd, Paramus, New Jersey 07652",201.701.5537,Five Below (Bill Hoag)
Brandt Fort Worth,TABS2024018223,Brandt Fort Worth,"5020 Anderson Blvd., Haltom City, TX 76117",Tarrant,10/1/2024,4/1/2025,"$2,250,000",New Construction,"This project is privately funded, on private land for private use.",Project in a new tenant office up fit within an existing warehouse shell space.  Current interior walls are being removed entirely.,"15,284 ft 2",Brandt Companies,"1728 Briercroft Ct., Carrollton, Texas 75006",(214) 542-8165,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018223,,,,
"EXPANSION AND REMODEL FOR AOK HILL ADVISORS, LLP",TABS2024018216,WELLS FARGO TOWER,"201 MAIN STREET SUITE 1250, Fort Worth, TX 76102",Tarrant,6/3/2024,7/19/2024,"$175,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",REMODEL OF EXISTING LEASE SPACE AND RESTROOM ADDITION,"3,843 ft 2",CITY CENTER MGMT CO LP; SRB CITY INVST LP; DDR/DTC CITY INVST LP; CITY INVST LP.,"201 MAIN STREET SUITE 3000, FORT WORTH, Texas 76102",(817) 255-5700,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018216,HALBACH DIETZ ARCHITECTS,"6913 CAMP BOWIE BLVD SUITE 149, FORT WORTH, Texas 76116",(817) 737-0725,
Wayside Middle School Replacement,TABS2024018201,Wayside Middle School,"1300 Old Decatur Rd, Fort Worth, TX 76179",Tarrant,6/18/2024,12/1/2025,"$90,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Replacement school on existing campus and site work, demolition of existing school, ancillary site building","183,186 ft 2",Eagle Mountain-Saginaw ISD,"1600 Mustang Rock Rd, Fort Worth, Texas 76179",817.232.0541,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018201,"VLK Architects, Inc.","1320 Hemphill St, Suite 400, Fort Worth, Texas 76104",(817) 633-1600,
Leonard Middle School,TABS2024018199,Leonard Middle School,"8900 Chapin Road, Fort Worth, TX 76116",Tarrant,7/1/2024,8/31/2026,"$36,400,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Renovating school along with adding a 28,396 sf addition","145,610 ft 2",Fort Worth Independent School District,"7060 Camp Bowie Blvd, Fort Worth, Texas 76116",817-815-6200,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018199,"VLK Architects, Inc.","1320 Hemphill St, Suite 400, Fort Worth, Texas 76104",(817) 633-1600,
YMCA Mansfield Renovation,TABS2024018184,YMCA Mansfield,"78 Regency Pkwy., Mansfield, TX 76063",Tarrant,6/3/2024,9/30/2024,"$329,996",Renovation/Alteration,"This project is privately funded, on private land for private use.","Project is a renovation project, converting an existing office area into a new strength exercise area, and minor updates to existing classroom layout and finishes.","8,340 ft 2",Arlington Mansfield Area YMCA,"78 Regency Pkwy, Mansfield, Texas 76063",(817) 299-9629,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018184,Modus Architecture,"4040 N. Central Expy. Suite 720, Dallas, Texas 75204",(314) 302-6864,
Mosier Valley South,TABS2024018150,Mosier Valley South - Building 2,"11315 Mosier Valley Road, Euless, TX 76040",Tarrant,7/29/2024,4/24/2025,"$8,820,608",New Construction,"This project is privately funded, on private land for private use.","A new speculative 123,250 SF industrial facility in Fort Worth, TX.","123,250 ft 2",LCG2I MOVA LLC,"3500 Maple Avenue, Suite #1600, Dallas, Texas 75219",(706) 836-7484,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018150,GSR Andrade Architects,"2001 North Lamar Street Suite #400, Dallas, Texas 75202",(214) 824-7040,
Mosier Valley North,TABS2024018148,Mosier Valley North - Building 1,"11305 Mosier Valley Road, Euless, TX 76040",Tarrant,7/29/2024,4/24/2025,"$10,083,050",New Construction,"This project is privately funded, on private land for private use.","A new speculative 137,250 SF industrial facility in Fort Worth, TX. ","137,250 ft 2",LCG2I MOVA LLC,"3500 Maple Avenue Suite #1600, Dallas, Texas 75219",(706) 836-7484,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024018148,GSR Andrade Architects,"2001 North Lamar Street Suite #400, Dallas, Texas 75202",(214) 824-7040,
