project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,project_url,design_name,design_address,design_phone
K POT,TABS2024022037,NORTH CITY,"2600 N. TARRANT PKWY, Fort Worth, TX 76177",Tarrant,8/1/2024,12/31/2024,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR FIT-UP OF EXISTING COMMERCIAL SPACE TO A RESTAURANT ,"7,214 ft 2",Steve Mckeever,"3108 W 6th St Ste 240, FORT WORTH, Texas 76107",(817) 236-6100,William Cheng,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022037,,,
TPS Centreport,TABS2024022012,TownePlace Suites by Marriott at Centreport,"4700 Hwy 360, Fort Worth, TX 76155",Tarrant,1/31/2025,7/31/2026,"$9,000,000",New Construction,"This project is privately funded, on private land for private use.","5 story wood framed hotel with breakfast area, fitness area, and outdoor patio.","56,255 ft 2","Airport South Hotels III, LP","1200 W. Walnut Hill Ln., Ste. 2525, Irving, Texas 75038",972.600.8162,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022012,Type Six Design and Development Services,"920 S. Main St., Ste. 150, Grapevine, Texas 76051",817.291.0908
Tarrant County Law Enforcement Training Center,TABS2024022009,Tarrant County Law Enforcement Training Center - 5051 Building,"5051 Resource Drive,, Fort Worth, TX 76196",Tarrant,7/17/2024,2/28/2025,"$2,500,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Armored Vehicle, Existing 24,343sf additions 999sf, alteration 906sf","26,248 ft 2",Tarrant County Facilities Management,"100 W. Weatherford Street, Room 350, Fort Worth, Texas 76196",(817) 212-7061,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022009,Komatsu Architecture,"3880 Hulen Street 300, Fort Worth, Texas 76107",(817) 332-1914
Tarrant County Law Enforcement Training Center,TABS2024022003,Tarrant County Law Enforcement Training Center-1500 Building,"1500 Circle Drive, Fort Worth, TX 76119",Tarrant,7/17/2024,2/28/2025,"$16,239,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","add space for occupant use, total alteration of existing building, existing 46,070, additions 4,249 sf ","50,319 ft 2",Tarrant County,"100 W Weatherford St    Room 350, Fort Worth, Texas 76196",(817) 212-7061,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024022003,Komatsu Architecture,"3880 Hulen Street 300, Fort Worth, Texas 76107",(817) 332-1914
Rios Interiors Facade Renovation,TABS2024021995,Rios Showroom,"2465 North Main St., Fort Worth, TX 76164",Tarrant,7/10/2024,10/2/2024,"$274,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Facade renovation and Canopy replacement,"1,000 ft 2",Nati Rios,"2465 North Main St., Fort Worth, Texas 76164",(817) 626-8600,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024021995,Bennett Partners,"640 Taylor Street, Suite 2323, Fort Worth, Texas 76102",(817) 335-4991
Luz Trucking Inc. Warehouse,TABS2024021968,"Luz Trucking Inc, Warehouse","3383 Raider Drive, Fort Worth, TX 76053",Tarrant,7/22/2024,6/30/2025,"$80,000",New Construction,"This project is privately funded, on private land for private use.",Add electricity and Bathrooms to an existing metal building.,"4,359 ft 2",Maria L Samaniego,"3375 Raider Dr., Fort Worth, Texas 76053",(817) 980-6493,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024021968,,,
Dollar Tree - Fort Worth,TABS2024021965,Former Walgreens,"3100 Miller Ave, Fort Worth, TX 76105",Tarrant,8/19/2024,10/31/2024,"$255,200",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior remodel of previous Walgreen store to a Dollar Tree. Replace all finishes and ceiling and toilet fixtures and accessories. Replace sliding storefront door with manual storefront door. Provide new LED lighting and modify office area.15016SF ,"15,016 ft 2",Agree Stores LLC,"32301 Woodward Ave, Royal Oak, Michigan 48073",(248) 480-0257,Mark Hinckley - Dollar Tree,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024021965,RRMM Architects,"1317 Executive Blvd #200, Chesapeake, Virginia 23320",757-213-6330
UNTHSC Gibson Lewis Library 1-4 floors renovation,TABS2024021937,Gibson D. Lewis Health Science Library,"927 Montgomery Street, Fort Worth, TX 76107",Tarrant,7/11/2024,1/22/2025,"$7,200,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","interior renovation, furniture package and finish upgrades, renovated area","32,365 ft 2",Univesrity of North Texas,"1000 Montgomery St, fort worth, Texas 76107",(940) 369-6673,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024021937,TreanorHL,"2554 Elm Street Suite 200, Dallas, Texas 75226",(785) 766-0678
Walmart 2978-1,TABS2024021932,Walmart 2978,"7451 McCart Ave, Fort Worth, TX 76133",Tarrant,7/10/2024,10/1/2024,"$500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Garden Center Remodel 9,637sf","9,637 ft 2",Walmart Real Estate Business Trust,"2608 SE J Street, Bentonville, Arkansas 72716",(479) 277-8735,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024021932,Benchmark Group,"1805 N 2nd Street, Rogers, Arkansas 72756",(479) 636-5004
Kwality Ice Cream,TABS2024021926,Kwality Ice Cream,"1060 N. Main St. #109, Euless, TX 76039",Tarrant,7/1/2024,9/1/2024,"$70,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodeling by tenant,"1,000 ft 2",Radu,"1060 N Main St #109, Euless, Texas 76039",(214) 830-0815,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024021926,,,
