project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
"BSW All Saints Medical Center (Fort Worth, TX) - ED CT Renovation",TABS2025003603,Baylor Scott & White Health: All Saints Medical Center,"1400 8th Avenue, Fort Worth, TX 76104",Tarrant,11/30/2024,4/1/2025,"$1,750,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","This project includes an 800sqft renovation of an existing CT scan room, and including a new temporary mobile CT unit to be connected and placed on the site.",800 ft 2,Baylor Scott & White Health,"301 N Washington Avenue, Dallas, Texas 75246",(214) 820-8521,"HDR Architecture, Inc","8750 N Central Expressway, Suite 100, Dallas, Texas 75231",(972) 960-4081,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003603,
Chicken & Rice,TABS2025003600,Chicken & Rice,"986 N COOPER ST, Arlington, TX 76011",Tarrant,11/1/2024,2/24/2025,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior remodeling by tenant,"1,800 ft 2","Sun Y, Lee","986 N COOPER ST, ARLINGTON, Texas 76001",(214) 662-0585,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003600,
Ocean Buffet,TABS2025003588,N/A,"400 E Main St, Crowley, TX 76036",Tarrant,11/18/2024,7/1/2025,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Complete build out of space for new restaurant - New Plumbing, Electrical, HVAC, Equipment Set-up and complete interior finishes (tables, chairs, etc.)","10,000 ft 2",Texas Crowley Partners LTD,"5916 Sterling Dr, Colleyville, Texas 76034",(214) 513-5125,J.C. Hsu Architect,"1206 Apollo Rd #851191, Richardson, Texas 75085",(217) 727-3227,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003588,Tiek Chee Goh
1350 Ave South,TABS2025003563,1350 Ave South,"1350 Avenue S, Grand Prairie, TX 75050",Tarrant,11/24/2024,5/24/2025,"$550,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation to an existing building and addition of an accessible entry ramp,"119,726 ft 2",LRF3 DAL Avenue S,"116 Huntington Avenue, Suite 1001, Boston, Massachusetts 02116",(214) 668-0173,Method Architecture,"3227 Mckinney Ave, Suite 201, dallas, Texas 75201",2-147-907-1711,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003563,
Action Behavior Center Grapevine Training,TABS2025003558,Action Behavior Center Grapevine Training,"2030 Glade Road, Suite 220, Grapevine, TX 76051",Tarrant,11/1/2024,6/30/2025,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","A 3,900 square-foot tenant improvement project in an existing suite for Action Behavior Centers training and offices.","3,900 ft 2","JAH Realty, L.P.","P.O. Box 14586, Oklahoma City, Oklahoma 73113",214-220-2274,Schwarz-Hanson Architects,"2627 Tillar Street, Suite 131, Fort Worth, Texas 76107",(817) 377-3600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003558,Connor Coleman
HEB ISLAMIC CENTER,TABS2025003510,HED ISLAMIC CENTER,"901 CLINIC DR #STE. B119, Euless, TX 76039",Tarrant,12/1/2024,8/31/2025,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",REMODEL ,"9,393 ft 2",GUIDANCE ACADEMY,"4112 WELLINGTON DR, COLLEYVILLE, Texas 76034",(972) 977-4757,BEAR DESIGN BUILD,"2965 VILLA CREEK DR #STE. 110, DALLAS, Texas 75234",(469) 682-7038,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003510,
Guanataco Cooper St,TABS2025003499,Guanataco,"3151 S Cooper St, Arlington, TX 75015",Tarrant,10/28/2024,12/23/2024,"$280,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Convert existing suite into restaurant space,"2,500 ft 2",Francisco Vargas,"3151 S Cooper St, Arlington, Texas 76015",(972) 672-4561,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003499,
Hunter Crossroads,TABS2025003492,Hunter crossroads East,"2225 Avondale-Haslet Road, Fort Worth, TX 76052",Tarrant,11/29/2024,6/13/2025,"$1,000,000",New Construction,"This project is privately funded, on private land for private use.",Shell building and site work,"12,300 ft 2",Quality Family Health Care Clinics,"10101 Westridge Blvd #101, McKinney, Texas 75072",(847) 644-1399,Richmond Group,"625 Dallas Drive #200, Denton, Texas 76205",(214) 244-8555,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003492,
T.I. Finish Remodeling for Flexology Physical Therapy & Pilates,TABS2025003485,Southlake Pavilion Shopping Center-Suite 180,"1959 W Shouth Boulevard, Southlake, TX 76092",Tarrant,11/5/2024,3/15/2025,"$426,600",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant Finish Remodeling of 2,800 leasable sf for Physical Therapy & Pilates Studio.","2,800 ft 2","San Diego Rentals, LLC","12859 Oakfield Way, Poway, California 92064",(619) 602-9570,"Boothe Architects, Inc.","1223 Fifth Avenue, Fort Worth, Texas 76104",817.439.9011,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003485,Ahsan Choudhry
Eyes Fort Worth,TABS2025003446,South Building,"3450 Hulen Street, Fort Worth, TX 76107",Tarrant,1/6/2025,11/6/2025,"$3,210,000",New Construction,"This project is privately funded, on private land for private use.",New single story wood frame construction with interior finish out for an Optometry office. This project shares sitework and parking with a building submitted under separate permit.,"4,950 ft 2","W.O.F. Properties, LLC","4705 Oak Trail, Fort Worth, Texas 76109",(817) 894-9319,MF Architecture,"900 E. 6th Street Suite 100, Austin, Texas 78702",(512) 432-5137,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025003446,
