ProjectNumber,FacilityName,City,County,TypeOfWork,EstimatedCost,ProjectStatus,ProjectId,DataVersionId,ProjectName,ProjectCreatedOn,EstimatedStartDate,EstimatedEndDate,URL
TABS2026023394,"5318 Bransford Holdings, LLC",345,2220,9002,235000.0,3008,5ecf65ae-3e41-49b3-bdb3-4a84722fb85f,900001,Professional Office Renovations,2026-06-20T16:48:06.68,2026-07-20T00:00:00,2027-01-08T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023394
TABS2026023386,SOUTHLAKE VILLAGE,1643,2220,9002,240000.0,3008,1e28e4f5-d05b-4f23-8692-f8f368dc2853,900001,AURA NAILS & LASH STUDIO,2026-06-19T23:20:12.037,2026-08-01T00:00:00,2026-12-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023386
TABS2026023367,Kennedale Sports Complex,870,2220,9001,2300000.0,3008,8a38fc10-30bd-45b9-82ea-9ea428f452a2,900001,Kennedale Sports Complex,2026-06-19T14:55:34.987,2026-07-15T00:00:00,2027-02-15T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023367
TABS2026023360,Scooters Sports Bar,118,2220,9002,250000.0,3008,ae1b5db0-9fbe-4127-8b9a-718c4d82dc75,900001,Scooters Sports Bar,2026-06-19T14:28:48.23,2026-08-01T00:00:00,2027-02-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023360
TABS2026023347,La Gran Plaza,606,2220,9002,331000.0,3008,69050b45-67c1-4025-92f7-f468dc3c3343,900001,La Gran Plaza Suite 1940 Remodel - white box,2026-06-19T13:25:17.97,2026-06-29T00:00:00,2026-08-15T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023347
TABS2026023341,Silver Creek Business Park Building 2 / 42942592,606,2220,9002,1500000.0,3008,598d8c9a-c672-46f5-9218-0ad4e2fc6858,900001,Google DFW1.0 Logistics Facility - Buckingham_Battery Room & Office Modification,2026-06-19T12:39:17.78,2026-07-30T00:00:00,2026-11-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023341
TABS2026023337,DFW Airport,455,2220,9002,480000.0,3008,95f535e6-f0ec-4552-8323-7fb1dcff5d92,900001,"Natalie's Candy Jar, Space A-2-040C-A01",2026-06-19T12:13:44.16,2026-07-06T00:00:00,2026-09-07T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023337
TABS2026023330,Tarrant County Corrections Center,606,2220,9002,6000000.0,3008,a975b5bc-e055-4f22-a4bb-62197019b34e,900001,Tarrant County Corrections Center - Envelope Renovation,2026-06-19T11:40:34.27,2026-07-02T00:00:00,2027-05-02T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023330
TABS2026023317,Azle Oaks Apartments - Community Building,84,2220,9001,850000.0,3008,4dd0c57e-a80b-45a9-ab44-610d8f2ae753,900001,Azle Oaks Apartments - Community Building,2026-06-19T09:20:34.277,2026-10-01T00:00:00,2027-10-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023317
TABS2026023314,"MCD 820 & BERRY - FTW, TX",606,2220,9001,1500000.0,3008,b5b4bf5d-29b9-4413-813c-bf5db8312b46,900001,"MCD 820 & BERRY - FTW, TX",2026-06-19T08:37:17.87,2026-10-01T00:00:00,2027-02-28T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023314
TABS2026023301,BEACH ST & CHAMPIONS VIEW PKWY,606,2220,9001,500000.0,3009,e2bbc308-baad-4eab-ad9c-bd56d16b33bd,900001,BEACH ST & CHAMPIONS VIEW PKWY INTERSECTION,2026-06-18T19:54:49.467,2025-05-01T00:00:00,2026-06-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023301
TABS2026023298,Gaylord Texan,695,2220,9002,3000000.0,3008,349e15ec-e651-44dc-8b98-4600b7246cb3,900001,Gaylord Texan-Marketplace Renovation,2026-06-18T18:23:17.41,2026-08-01T00:00:00,2026-11-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023298
TABS2026023297,Gaylord Texan,695,2220,9001,1045000.0,3008,4c59b87a-6a7d-41f3-93e4-ab9c3646bfb6,900001,ICE Event 2026-Harry Potter,2026-06-18T17:58:17.36,2026-11-13T00:00:00,2027-01-03T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023297
TABS2026023286,West Loop Business Park,1868,2220,9002,200000.0,3008,ac4b7ee1-0c1f-4daa-b4cb-f0aae8dcd5a9,900001,Republic Refrigeration,2026-06-18T16:15:46.993,2026-07-18T00:00:00,2026-10-18T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023286
TABS2026023277,HEB Mansfield,1061,2220,9002,470000.0,3008,d703c880-0eee-4dd2-a7a5-cfa45bbe33d8,900001,Lampasas Fresh Initiative,2026-06-18T15:37:15.51,2026-09-21T00:00:00,2026-10-19T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023277
TABS2026023264,GREEN OAKS PLAZA,62,2220,9002,225000.0,3008,476011aa-af9a-42b1-918b-636cd17b50ed,900001,PALM BEACH TAN ARLINGTON,2026-06-18T14:52:42.427,2026-07-20T00:00:00,2026-10-20T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023264
TABS2026023262,the jacksboro commons,606,2220,9002,600000.0,3008,26f8afc9-84c9-4184-bf68-97760946c025,900001,jacksboro commons,2026-06-18T14:48:32.167,2026-07-01T00:00:00,2026-10-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023262
TABS2026023242,"Constellation Commerce 360, Building 1",686,2220,9002,2800000.0,3008,307d559c-f937-4e3f-bf2b-4d5962feeffb,900001,Siemens Orion,2026-06-18T13:54:25.963,2026-07-01T00:00:00,2026-09-21T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023242
TABS2026023233,Weatherford Building,606,2220,9002,120000.0,3008,b3848020-8296-4c06-9fdb-773e8eca17f8,900001,Weatherford Building,2026-06-18T13:05:15.547,2026-06-18T00:00:00,2026-07-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023233
TABS2026023226,Wonder,62,2220,9002,1200000.0,3008,e4e79a2a-ebdc-4c52-8597-a96eeb5e7401,900001,Wonder Restaurant Tenant Finish Out,2026-06-18T12:25:10.027,2026-06-22T00:00:00,2026-09-16T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023226
TABS2026023214,QuikTrip #918,606,2220,9002,230000.0,3008,1e3ce3df-3f6c-4f7c-8807-5f8cd8c9f783,900001,QuikTrip #918 Exterior Refresh Project,2026-06-18T11:06:32.517,2026-08-09T00:00:00,2026-08-14T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023214
TABS2026023204,B1 Bank Building,1858,2220,9002,1200000.0,3008,e888bb1c-1f55-4f14-9b1c-32488195546f,900001,B1 Bank Bldng - Level 2 Tenant Finish Out,2026-06-18T10:40:20.55,2026-10-05T00:00:00,2027-06-07T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023204
TABS2026023201,Research & Education Building,606,2220,9002,5300000.0,3008,9a060870-cd2f-473d-bfc6-e968de02ccd4,900001,UNT Health Fort Worth RES Level 1,2026-06-18T10:30:31.98,2026-09-05T00:00:00,2027-06-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023201
TABS2026023198,AutoNation NFTW CDJR - Collision Center,606,2220,9002,1000000.0,3008,0c2eec0f-49c9-4a34-8bba-460b21b3db33,900001,AutoNation NFTW CDJR - Collision Center HVAC Renovation,2026-06-18T10:17:29.84,2027-03-01T00:00:00,2027-12-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023198
TABS2026023194,AutoNation NFTW CDJR - Service Shop,606,2220,9002,1000000.0,3008,e8bd5ab9-8561-4338-a51f-fd4d5314f660,900001,AutoNation NFTW CDJR - Service Shop HVAC Renovation,2026-06-18T10:03:43.247,2027-03-01T00:00:00,2027-12-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023194
TABS2026023168,Silver Creek Business Park Building 2 / 42942592,606,2220,9002,250000.0,3008,61412633-1928-4a39-8d1b-93a3f648ffe2,900001,Google DFW1.0 Logistics Facility - Buckingham_DFW 1.0_Security Improvements,2026-06-17T22:41:12.727,2026-07-30T00:00:00,2026-09-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023168
TABS2026023155,Komplete Group,62,2220,9002,368668.0,3008,e3de4c78-7b86-40dd-8b1e-30623e58a7be,900001,Komplete Group,2026-06-17T16:53:28.573,2026-07-01T00:00:00,2026-07-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023155
TABS2026023149,The Cooper Apartments,606,2220,9002,5000000.0,3008,f3689fe5-9e45-4519-9d87-25e1f8c2fa27,900001,The Cooper Building 1 Shell,2026-06-17T16:29:49.563,2026-07-14T00:00:00,2026-07-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026023149
