project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Image Studios,TABS2025021281,Amli,"4000 East Dallas, Suite 300, Grapevine, TX 76051",Tarrant,8/1/2025,12/31/2025,"$750,000",New Construction,"This project is privately funded, on private land for private use.",Tenant finish-out of existing suite to become a hair salon.,"4,674 ft 2",Amli,"2306 Lake Dallas, Austin, Texas 78703",(512) 529-8632,"708 Studios, LLC","5000 Eldorado Parkway, Suite 150, Frisco, Texas 75033",(214) 789-6196,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021281,
DFW Pet Lounge and Quarantine,TABS2025021275,DFW Pet Lounge and Quarantine,"6148 Precinct Line Road, Hurst, TX 76054",Tarrant,7/15/2025,10/11/2025,"$440,458",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Finish-Out,"5,795 ft 2",Jen Umbright,"7332 Arroyo, Crowley, Texas 76036",(817) 600-9434,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021275,
Five Iron Golf Fort Worth,TABS2025021267,Five Iron Golf Fort Worth,"824 W Dagget Avenue, Fort Worth, TX 76104",Tarrant,8/1/2025,3/1/2026,"$900,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of Existing Space,"11,607 ft 2",Waterman Golf LLC,"2229 SANDRELLAN ST, Aledo, Texas 76008",(817) 944-8103,STUDIO MAS+ ARCHITECTS,"10440 E NW Hwy Suite 301, Dallas, Texas 75238",(214) 669-4684,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021267,
524 South Jennings Redevelopment,TABS2025021248,524 South Jennings Redevelopment,"524 S. Jennings Street, Fort Worth, TX 76104",Tarrant,8/1/2025,8/1/2026,"$1,700,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Restoration of an existing facility,"3,500 ft 2",South Zacks Investment LLC,"401 W. 26th Street, Bryan, Texas 77803",(979) 680-8840,Gessner Engineering,"401 W 26th Street, Bryan, Texas 77803",(979) 431-0961,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021248,
siemens improvements,TABS2025021247,siemens,"633 westport parkway suite 400, Grapevine, TX 76051",Tarrant,6/30/2025,9/30/2025,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",office and warehouse improvements to an existing tenant,"64,200 ft 2",lbh westport llc,"116 huntington avenue suite 60, boston, Massachusetts 02116",(214) 228-7581,meinhardt & associates,"14643 dallas parkway suite 636, Dallas, Texas 75254",(972) 980-8980,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021247,
Madero PH 6,TABS2025021232,Madero PH 6,"NE Inters. Sendera Ranch Blvd. & Rancho Canyon, Fort Worth, TX 76052",Tarrant,1/1/2024,7/1/2025,"$73,000",New Construction,"This project is privately funded, on private land for private use.","New land development project, 214 residential lots(42,177 ac) 3,137 sf of 5' wide sidewalk, 26 BFR.","3,137 ft 2","Lennar Homes of Texas Land & Construction, LTD.","1231 Greenway Drive, Suite 800, Irving, Texas 75038",(972) 897-5825,LJA Engineering,"6060 N. Central Expwy., Ste 400, Dallas, Texas 75206",(469) 621-0710,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021232,
Penn Street Renovation,TABS2025021231,601 Penn Street,"601 Penn Street, Fort Worth, TX 76102",Tarrant,8/1/2025,1/15/2026,"$440,475",Renovation/Alteration,"This project is privately funded, on private land for private use.","Proposed roof and interior renovation of the existing 2204 square foot structure located at 601 Penn Street in Fort Worth, Texas 76102","2,204 ft 2","Penn & 5th Street, LLC","601 Penn Street, Fort Worth, Texas 76102",(972) 877-4925,"m3 studio, pllc","3880 Hulen Street, Suite 630, Fort Worth, Texas 76107",(817) 733-3513,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021231,
RAINWATER,TABS2025021227,777 MAIN STREET,"777 MAIN STREET, SUITE 2250, Fort Worth, TX 76102",Tarrant,7/7/2025,9/29/2025,"$598,650",Renovation/Alteration,"This project is privately funded, on private land for private use.",renovation to existing tenant suite,"7,982 ft 2","F7 SSSM, LLC","3455 Peachtree Rd, ATLANTA, Georgia 30326",(817) 321-1100,JACOBS ENGINEERING,"777 MAIN STREET SUITE 2300, FORT WORTH, Texas 76102",(719) 684-6980,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021227,
"Lagree Theory Plus, DBA: Pulse",TABS2025021201,110 US 287,"110 US 287 Frontage Road #114, Mansfield, TX 76063",Tarrant,7/15/2025,11/1/2025,"$100,000",New Construction,"This project is privately funded, on private land for private use.",new interior finish out in vacant space,"2,000 ft 2",Davinder Singh,"110 US 287 Frontage Road, Mansfield, Texas 76063",(817) 372-5850,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021201,
Third Floor Remodel,TABS2025021197,The Paradox Church,"900 West Belknap, Fort Worth, TX 76102",Tarrant,6/30/2025,10/31/2025,"$600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Remodel east and west ends of existing third floor.,"3,470 ft 2",The Paradox Church,"900 West Belknap, Fort Worth, Texas 76102",(720) 560-3081,Martsolf Architecture,"815 W Daggett Ave, Fort Worth, Texas 76104",(817) 820-0005,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025021197,
