project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Hillwood Alliance Westport 14 Make Ready Spec Office,TABS2025009287,Westport 14 Shell Building,"Old Blue Mound Road & Intermodal Parkway, Fort Worth, TX 76052",Tarrant,3/3/2025,6/3/2025,"$1,480,000",New Construction,"This project is privately funded, on private land for private use.","2,985 square foot Interior finish out inclusive of open and private offices, conference room, break room, single user restrooms, IT/Server and Janitors Closet.","2,985 ft 2","Alliance Westport No. 14, Ltd.","9800 Hillwood Parkway, fort worth, Texas 76177",817.224.6000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025009287,,,,
SERKO TENANT FINISH OUT,TABS2025009274,VARISPACE SOUTHLAKE,"1900 W KIRKWOOD BLVD, Southlake, TX 76092",Tarrant,1/24/2025,2/28/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",TENANT DEMISING WALLS AND CONFERENCE ROOM,"6,191 ft 2",VARI,"450 N. FREEPORT PARKWAY, COPPELL, Texas 75019",(469)391-0976,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025009274,Oler Senitz,"2175 E Stone Road, Wylie, Texas 75098",(214) 498-4161,
TIH-CRC Interior Renovation,TABS2025009273,DR Horton Tower,"301 Commerce St. Suite 950, Fort Worth, TX 76102",Tarrant,3/14/2025,6/16/2025,"$505,014",Renovation/Alteration,"This project is privately funded, on private land for private use.","INTERIOR UPFIT OF SHELL OFFICE SPACE: WAITING AREA, CONFERENCE ROOM, 5 OFFICE, OPEN OFFICE AREA, SMALL WET PANTRY AND COPIER AREA.","2,803 ft 2",TRUIST BANK,"301 COMMERCE ST STE 950, FORT WORTH, Texas 76102",817-344-7627,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025009273,Little Diversified Architectural Consulting,"615 S COLLEGE ST. Suite 1600, Charlotte, North Carolina 28202",(704) 561-5123,
The Hills on Lancaster,TABS2025009270,The Hills on Lancaster,"5220 E Lancaster Ave, Fort Worth, TX 76112",Tarrant,2/24/2025,2/27/2026,"$3,285,000",New Construction,"This project is privately funded, on private land for private use.",New ground up multifamily construction 24 units 2 building 12 units each building ,"11,200 ft 2",Psalm Development and Construction,"12801 N Central Expy, Dallas, Texas 75251",(816) 679-0371,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025009270,,,,
Pigtails & Crewcuts,TABS2025009249,Heritage Trace Plaza,"3529 Heritage Trace Parkway Suite 121, Fort Worth, TX 76244",Tarrant,1/15/2025,4/30/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Tenant Finish Out,"1,397 ft 2",Whitestone REIT,"2600 Gessner Road Suite 500, Houston, Texas 77063",(832) 584-7019,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025009249,DRAWbridge,"2650 FM 407E Suite 145, #149, Bartonville, Texas 76226",(214) 395-2375,
Roam Energy EV Charging Station,TABS2025009231,Arlington Park Square,"1201 W Arbrook Blvd, Arlington, TX 76015",Tarrant,3/3/2025,4/30/2025,"$50,000",New Construction,"This project is privately funded, on private land for private use.",Installing (3) EV charging dual dispensers for a total of (6) EV charging stalls in existing shopping center parking lot. ,125 ft 2,SMS RAISING LLC,"2406 GRIZZLY RUN LN, EULESS, Texas 76039",(913) 438-7700,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025009231,"Selective Site Consultants, Inc.","7171 W 95th Street Suite 600, Overland Park, Kansas 66212",913-438-7700,
Fort Worth Far Northwest Library,TABS2025009216,Fort Worth Far Northwest Library,"1297 Avondale-Haslet RD, Fort Worth, TX 76052",Tarrant,3/17/2025,5/17/2026,"$11,480,390",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","New construction of a library including multipurpose space, meeting rooms, and Idea Lab.","18,000 ft 2",City of Fort Worth,"200 Texas Street Suite T 105, Fort Worth, Texas 76102",(817) 392-8274,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025009216,HKS Inc.,"1227 Magnolia Ave Suite 200, Fort Worth, Texas 76104",(817) 348-0330,
Walmart Store #1178 Zipline,TABS2025009214,Walmart,"4101 Highway 121, Bedford, TX 76021",Tarrant,1/26/2025,3/28/2025,"$750,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","install drone delivery system and equipment by vendor, install new foundation for drone delivery system.","5,000 ft 2",Walmart,"2608 SE J Street, Bentonville, AR, Bentonville, Arkansas 72716",(479) 371-2055,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025009214,"Kimley-Horn and Associates, Inc.","10101 Reunion Place Suite 400, San Antonio, Texas 78216",210-660-2943,
LUCID Private Offices,TABS2025009209,Silverlake Crossings,"1785 State Highway 26W, Suite 200, Grapevine, TX 75075",Tarrant,3/6/2025,8/18/2025,"$1,800,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of existing office space in high rise building.,"18,684 ft 2",Newcrest Image,"1785 State Highway 26 Suite 400, Grapevine, Texas 76051",(972) 516-4205,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025009209,Go Studio,"1201 Main Street #1370, Dallas, Texas 75202",(214) 420-4646,Chelsea Bascom
Kroger #562 Remodel 2025,TABS2025009191,Kroger 562,"12600 North Beach St, Fort Worth, TX 76244",Tarrant,2/23/2025,3/28/2025,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Minot Interior Remodel of an existing grocery store including decor updates,"101,452 ft 2",The Kroger Company,"751 Freeport Parkway, Coppell, Texas 75019",(469) 645-7947,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025009191,Heights Venture Architects,"5741 Legacy Drive Suite 320, Plano, Texas 75024",(281) 854-6148,
