project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Nanoscope Technologies LLC,TABS2024015586,Nanoscope Technologies LLC,"1624 New York Ave, Arlington, TX 76010",Tarrant,4/15/2024,5/15/2024,"$17,952,650",Renovation/Alteration,"This project is privately funded, on private land for private use.","repair ceiling grid and ceiling tiles, repair drywall, skim float, match texture, prime plus paint, repair bathroom tile HVAC replace existing units Electrical install backup generator Plumber install NG line to backup generator","10,000 ft 2",Nanoscope Technologies LLC,"1624 New York Ave, Arlington, Texas 76010",8-170-719-2692,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024015586,,,,
SW Ambulance,TABS2024015551,SW Ambulance,"517 East Kennedale Parkway, Kennedale, TX 76060",Tarrant,5/1/2024,9/1/2024,"$503,547",New Construction,"This project is privately funded, on private land for private use.",Proposed Storage Warehouse and Accessory Office space,"5,000 ft 2","SW Ambulance, LLC","621 E Kennedale Parkway, Kennedale, Texas 76060",(972) 278-0911,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024015551,m3 studio pllc,"3880 Helen St. Suite 630, Fort Worth, Texas 76107",(817) 733-3513,
20209 - SE Spec Suite,TABS2024015527,Enterprise Bldg 2,"1115 Enterprise Place, Arlington, TX 76001",Tarrant,6/1/2024,8/31/2024,"$350,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",New finish out within existing shell building,"1,985 ft 2",Holt Lunsford Commercial,"5950 Berkshire Lane, Suite 900, Dallas, Texas 75225",972.380.3640,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024015527,Meinhardt & Associates,"14643 Dallas Pkwy, suite 636, Dallas, Texas 75254",1-972-934-5406,
Rancho Serenidad Amenity Center,TABS2024015514,Amenity Center,"1800 Oak Grove Rd. E, Burleson, TX 76028",Tarrant,4/5/2024,8/31/2024,"$950,000",New Construction,"This project is privately funded, on private land for private use.","A 3,344 square-foot amenity center project to serve a community in Tarrant county .","3,344 ft 2",LMP Deer Creek Owner LLC,"300 E 39th St., Suite 5h, Kansas City, Missouri 64111",(903) 208.1668,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024015514,Schwarz-Hanson Architects,"2627 Tillar Street, Suite 131, Fort Worth, Texas 76107",(817) 377-3600,
Scenthound Grooming - Euless,TABS2024015502,Vineyard Village,"2720 SH 121 Suite 175, Euless, TX 76039",Tarrant,5/6/2024,8/5/2024,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Fit out of existing tenant suite in multi-tenant retail center for use as a dog grooming facility.,"1,275 ft 2",2720 SH 121 LP,"12300 Park Central Drive, Dallas, Texas 75251",(972) 720-9300,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024015502,LH2 Architecture LLC,"5909 W Loop S Suite 230, BELLAIRE, Texas 77401",(713) 201-2938,
Round 1 Arlington Remodel,TABS2024015470,Arlington Parks Mall,"3811 S Cooper St #6004, Arlington, TX 76015",Tarrant,6/1/2024,8/1/2024,"$875,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Existing Tenant Doing a finish remodel, and adding a storage room, etc.","40,000 ft 2",Brookfield Properties,"350 N Orleans St Suite 300, Chicago, Illinois 60654",(312) 960-2852,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024015470,Paradigm Design,"415 S Leonard St, Grand Rapids, Michigan 49504",(616) 785-5656,Round 1 Entertainment
FWS 10 TI Single Occupant,TABS2024015466,FW Building 10,"9401 Hemphill Street, Fort Worth, TX 76140",Tarrant,4/22/2024,7/28/2024,"$275,000",New Construction,"This project is privately funded, on private land for private use.",550 sf office space with restroom,550 ft 2,Fort Worth Everman Risinger Development LLC,"131 E. Exchange Avenue Suite 212, Fort Worth, Texas 76164",(817) 710-7367,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024015466,Commerce Construction Co. LP,"13191 Crossroads Parkway North 6th Floor, City of Industry, California 91746",562-948-4323,
Texas Trust Credit Union,TABS2024015444,Texas Trust Credit Union,"1061 North State Highway 360, Mansfield, TX 76063",Tarrant,6/1/2024,2/1/2025,"$2,000,000",New Construction,"This project is privately funded, on private land for private use.",2425 sf single story retail banking facility with 950sf covered drive thru canopy,"2,425 ft 2",Alan Barbee,"5850 W Interstate 20, Arlington, Texas 76017",(972) 595-1288,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024015444,Oculus Inc.,"1201 Main Street Suite 1750, Dallas, Texas 75202",(214) 397-0305,
AISD - Amos ES Renovations,TABS2024015428,Amos Elementary School,"3100 Daniel Drive, Arlington, TX 76014",Tarrant,6/1/2024,8/1/2025,"$4,022,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Interior renovations including MEP upgrades, door hardware upgrades, ceiling replacement, bathroom ADA upgrades and exterior renovations including replacement paving.","10,000 ft 2",Arlington ISD,"690 East Lamar Blvd., Arlington, Texas 76011",(682) 867-7607,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024015428,"IN2 Architecture, Inc.","12222 Merit Drive Suite 1140, Dallas, Texas 75251",(972) 427-1222,
AISD - Goodman ES Renovations,TABS2024015427,Goodman Elementary School,"1400 Rebecca Lane, Arlington, TX 76014",Tarrant,6/1/2024,8/1/2025,"$3,649,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Interior renovations including MEP upgrades, door hardware upgrades, ceiling replacement, bathroom ADA upgrades and exterior renovations including replacement paving.","10,000 ft 2",Arlington ISD,"690 East Lamar Blvd., Arlington, Texas 76011",(682) 867-7607,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024015427,"IN2 Architecture, Inc.","12222 Merit Drive Suite 1140, Dallas, Texas 75251",(972) 427-1222,
