ProjectNumber,FacilityName,City,County,TypeOfWork,EstimatedCost,ProjectStatus,ProjectId,DataVersionId,ProjectName,ProjectCreatedOn,EstimatedStartDate,EstimatedEndDate,URL
TABS2026022736,"DFW Airport, Concourse A",415,2220,9002,425000.0,3008,204e1ea5-f886-4686-bf21-b98c8fb76c83,900001,Stockyards Market Place,2026-06-12T11:34:01.357,2026-09-01T00:00:00,2026-12-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022736
TABS2026022730,Storage 365,606,2220,9001,7475000.0,3008,73cb8872-a336-4b0d-a3e4-22f18fef9e2e,900001,Cooks Lane Storage,2026-06-12T10:57:50.423,2026-09-01T00:00:00,2027-09-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022730
TABS2026022663,Tate Springs Baptist Church,62,2220,9003,800000.0,3008,4ea5ff21-fd56-4b28-88b9-94bf845f0287,900001,Building Addition,2026-06-11T15:30:18.617,2026-07-27T00:00:00,2027-07-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022663
TABS2026022660,QuikTrip #1930,606,2220,9001,750000.0,3008,d052b072-2a48-46a0-b9f2-455a409814ff,900001,QuikTrip #1930,2026-06-11T15:11:12.657,2027-01-08T00:00:00,2027-09-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022660
TABS2026022628,Classic Collision,606,2220,9001,2500000.0,3008,49ee7201-87cb-4367-9e44-c16a4544c06a,900001,Classic Collision Fort Worth,2026-06-11T12:25:00.077,2026-10-05T00:00:00,2027-03-22T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022628
TABS2026022554,Washington Ave Multi-Plex,606,2220,9001,1500000.0,3008,29fd1f10-16d3-48af-aec5-f733fbb40b41,900001,Washington Ave Multi-Plex,2026-06-10T15:55:47.667,2026-07-01T00:00:00,2026-12-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022554
TABS2026022511,Select Specialty Hospital - Dallas Inc.,695,2220,9002,6000000.0,3008,38327cf7-a794-4285-b98c-d255f217410e,900001,Select Medical Renovation,2026-06-10T12:15:17.93,2026-07-01T00:00:00,2027-07-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022511
TABS2026022509,AWA R3,606,2220,9002,600000.0,3008,30584678-424d-49d1-b841-98fba9661265,900001,AWA R3 Renovations,2026-06-10T11:59:58.41,2026-08-01T00:00:00,2027-02-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022509
TABS2026022503,"34095 Fort Worth, TX (Meacham Blvd)",606,2220,9001,1400000.0,3008,f706ab52-48e7-41e3-9913-d78339edf518,900001,"34095 Fort Worth, TX (Meacham Blvd)",2026-06-10T11:17:03.8,2026-08-31T00:00:00,2027-07-08T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022503
TABS2026022484,Phase I: 1 Destiny Way,1858,2220,9002,450000.0,3008,815ff49a-7bd2-45c5-a015-4f47f790b9d2,900001,Fidelity WLK ODW - Servery and Pop Up,2026-06-10T09:17:04.66,2026-07-06T00:00:00,2026-12-04T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022484
TABS2026022481,Rendon Fire Station,231,2220,9002,1500000.0,3008,a5defdfa-20dd-4117-95b9-0f7e9c05f77a,900001,Rendon Fire Station,2026-06-10T08:59:48.34,2026-05-04T00:00:00,2026-12-07T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022481
TABS2026022460,Wells Fargo,606,2220,9002,194500.0,3008,ab8cc6d2-7194-4128-bda5-e838cf2edb72,900001,Wells Fargo - Western Hills - Refurb 2026,2026-06-09T22:51:55.597,2026-08-01T00:00:00,2026-08-18T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022460
TABS2026022442,Pro. Office/ Warehouse,1643,2220,9001,750000.0,3008,27815123-a929-42e7-a1fa-cb7e74b0b699,900001,"Kirkwood East Properties, LLC",2026-06-09T17:16:55.41,2026-08-03T00:00:00,2027-04-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022442
TABS2026022439,Fort Worth Museum of Science and History,606,2220,9001,438000.0,3008,8ad72901-afa1-4358-951e-f60c0418905f,900001,Fort Worth Museum of Science and History School,2026-06-09T17:02:20.737,2026-06-27T00:00:00,2026-09-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022439
TABS2026022433,UNT Health Research and Education building,606,2220,9002,675000.0,3008,dd18a56f-0e98-4998-8eb0-6ea58ef9efcc,900001,UNT Health RES Restroom Renovation,2026-06-09T16:19:58.25,2026-07-15T00:00:00,2027-01-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022433
TABS2026022416,The Gaucho,606,2220,9002,165000.0,3008,72a71a5e-7686-4072-92d3-f5380200d84c,900001,The Gaucho,2026-06-09T14:41:58.44,2026-07-01T00:00:00,2026-12-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022416
TABS2026022373,Building 6,606,2220,9002,300000.0,3008,e96f8a64-1ae4-4cd0-bcb9-53adde7c5b54,900001,26087 - Drink Pak Phase 2 Bldg 6,2026-06-09T10:26:33.543,2026-06-25T00:00:00,2026-08-15T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022373
TABS2026022359,Baylor Scott & White Physical Therapy,859,2220,9002,970000.0,3008,97fcc7e7-52f6-413d-af43-5ef0ba491fcf,900001,"Baylor Scott & White - Keller, TX",2026-06-09T09:27:25.203,2026-07-01T00:00:00,2026-10-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022359
TABS2026022330,US XSY,606,2220,9002,400000.0,3008,f207db81-f373-45b3-8142-5721acdca23f,900001,US XSY INTERIOR FINISH OUT,2026-06-08T17:37:06.013,2026-07-15T00:00:00,2027-03-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022330
TABS2026022327,Action Behavior Center South Arlington Academy,62,2220,9002,600000.0,3008,ad4e41fb-da8e-4c69-a2bf-3558c7e0b671,900001,Action Behavior Center South Arlington Academy,2026-06-08T17:13:27.177,2026-07-01T00:00:00,2026-12-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022327
TABS2026022325,Action Behavior Center Justin 2.0,736,2220,9002,800000.0,3008,cba1641f-9f40-4608-a295-b0b4506b3e1b,900001,Action Behavior Center Justin 2.0,2026-06-08T16:50:00.077,2026-07-01T00:00:00,2026-12-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022325
TABS2026022313,Baylor Scott & White Medical Center - Trophy Club,1760,2220,9002,100000.0,3008,e32a7bc0-0e8a-42ad-9d08-4965b8ad4989,900001,USPI - Trophy Club GI Reno,2026-06-08T15:59:13.26,2026-07-01T00:00:00,2026-08-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022313
TABS2026022292,Haltom Flex space business park,606,2220,9001,450000.0,3008,80d0f7aa-0e56-4a58-b83d-5fe1e1ecb7c5,900001,Haltom Flex,2026-06-08T14:19:24.237,2026-06-22T00:00:00,2026-09-25T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022292
TABS2026022276,Sappington 4Plex,606,2220,9001,532000.0,3008,8e3e2a66-9b1c-4bbf-a816-434a8e6cb64c,900001,2900 Sappington Place,2026-06-08T12:32:34.677,2026-09-01T00:00:00,2027-02-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022276
TABS2026022267,TNC (The Neighborhood Clinic),802,2220,9002,600000.0,3008,8fb43e8f-b854-42dc-8bf9-f8a6eb64ef68,900001,TNC (The Neighborhood Clinic),2026-06-08T12:00:42.79,2026-07-06T00:00:00,2026-10-06T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022267
TABS2026022255,PNC Bank,606,2220,9002,65000.0,3008,ca043f43-0092-4d5a-af7a-c21ce0d5f456,900001,PNC E518 Camp Bowie Office Renovation,2026-06-08T11:12:04.153,2026-06-24T00:00:00,2026-07-29T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022255
TABS2026022243,JPS Medical Home at True Worth,606,2220,9002,300000.0,3008,69af5386-f4ab-43f9-8baa-18f92f54dd88,900001,X-RAY Room Replacement,2026-06-08T09:22:40.367,2026-07-15T00:00:00,2026-11-15T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022243
TABS2026022226,500 E LOOP 820,605,2220,9002,1235000.0,3008,a47f8e18-40a5-417e-84ef-b5a234aedf9c,900001,COMMERCIAL REMODEL,2026-06-07T09:14:26.043,2026-06-15T00:00:00,2027-12-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026022226
