project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Frontier Direct Care - Arlington,TABS2026028558,NCEC Shopping Center,"1006 N Collins St, Arlington, TX 76011",Tarrant,9/7/2026,11/30/2026,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Finish out,"2,600 ft 2",NCEC Arlington LLC,"1 Twin Springs Dr, Arlington, Texas 76016",(817) 903-0882,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028558,,,,
Lone Star Arthritis & Rheumatology Associates,TABS2026028523,Southwest Medical Plaza II,"5801 Oakbend Trail Suite #140, Fort Worth, TX 76132",Tarrant,9/7/2026,12/31/2026,"$800,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Altering and combining two existing suites in an existing medical office building.,"10,828 ft 2",HCP Cityview II LP,"3000 Meridian Blvd Suite #200, Franklin, Tennessee 37067",615-324-6946,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028523,Lincoln Property Company,"8140 Walnut Hill Ln Suite #700 / Mailbox #8, Dallas, Texas 75231",214-461-2305,
Boat Club Landing - Building C Shell,TABS2026028496,Boat Club Landing - Building C,"Pioneer Point Crossing Lot 8, Block 1, Robert Whitley Survey, Abstract 1, Fort Worth, TX 76179",Tarrant,12/15/2026,12/15/2027,"$2,250,000",New Construction,"This project is privately funded, on private land for private use.","Construction of a new, approximately 15,504 sf shell retail building with associated site work and amenities.","15,504 ft 2","Boat Club Landing, Ltd.","Old Parkland-Freedom Place 4020 Maple Ave. Suite 475, Dallas, Texas 75219",214-219-4900,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028496,SSARCO of TX,"325 N St. Paul St. Suite 2600, Dallas, Texas 75201",214-534-0028,
Boat Club Landing - Building B Shell,TABS2026028494,Boat Club Landing - Building B,"Pioneer Point Crossing, Lot 8, Block 1, Robert Whitley Survey, Abstract 16, Fort Worth, TX 76179",Tarrant,12/15/2026,12/15/2027,"$2,250,000",New Construction,"This project is privately funded, on private land for private use.","Construction of a new, approximately 15,504 sf shell retail building with associated site work and amenities.","15,504 ft 2","Boat Club Landing, Ltd.","Old Parkland-Freedom Place 4020 Maple Ave. Suite 475, Dallas, Texas 75219",214-219-4900,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028494,SSARCO of TX,"325 N St. Paul St. Suite 2600, Dallas, Texas 75201",214-534-0028,
Boat Club Landing - Building A Shell,TABS2026028488,Boat Club Landing - Building A,"Pioneer Point Crossing Lot 8, Block 1, Robert Whitley Survey, Abstract 16, Fort Worth, TX 76179",Tarrant,12/15/2026,12/15/2027,"$4,800,000",New Construction,"This project is privately funded, on private land for private use.","Construction of a new, approximately 59,951 sf shell retail building with associated site work and amenities.","59,951 ft 2","Boat Club Landing, Ltd.","Old Parkland-Freedom Place 4020 Maple Ave., Suite 475, Dallas, Texas 75219",214-219-4900,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028488,SSARCO of TX,"325 N St. Paul St. Suite 2600, Dallas, Texas 75201",214-534-0028,
Shoe Palace,TABS2026028462,The Shops at Chisolm Trail,"Shops at Chisolm Trail Ranch, Suite 5617,, Fort Worth, TX 76123",Tarrant,10/1/2026,12/16/2026,"$280,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","7,007 SF tenant finish out of an existing lease space","7,007 ft 2",Provencia Investments LLC,"3000 West Memorial Rd, Ste 225, Oklahoma City, Oklahoma 73120",(405) 520-6188,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028462,Quorum Architects Inc.,"825 West Vickery Blvd, Fort Worth, Texas 76014",(817) 546-6311,Elliot Flaum
Renovation for the Men's Locker Rooms & Wet Area,TABS2026028442,The Fort Worth Club,"306 West 7th Street, Fort Worth, TX 76102",Tarrant,8/31/2026,11/1/2026,"$3,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","A comprehensive, wellness-focused renovation of the men's locker room and wet areas within a historic private club, including expanded locker facilities, a member lounge, and enhanced spa and wellness amenities. ","5,373 ft 2",The Fort Worth Club,"306 West 7th Street, Fort Worth, Texas 76102",(817) 336-7211,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028442,Lightly Interiors,"459S Jennings Ave, Fort Worth, Texas 76104",(817) 897-4398,
GREGORY SPENCER FUNERAL HOME RENOVATIONS,TABS2026028441,GREGORY SPENCER FUNERAL HOME,"4000 Miller Avenue, Fort Worth, TX 77109",Tarrant,9/3/2026,12/31/2026,"$225,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Various exterior and interior renovations,"6,500 ft 2",WFG- GREGORY SPENSER FUNERAL HOME INC.,"1929 Allen FL 9 Pkwy, Houston, Texas 79019",(817) 531-8666,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028441,The Stensland Group,"3409 Westway CT, Plano, Texas 75093",(214) 680-1387,
Hillside Community Church Site Renovations,TABS2026028406,Hillside Community Church,"9915 Ray White Road, Fort Worth, TX 76244",Tarrant,9/15/2026,9/15/2027,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Removal of existing porte-cochère.  Site renovation of parts of the parking lot.  New sidewalks & ramps, new masonry monument and monument sign.  New masonry screen wall.  New landscaping.   Renovated site lighting for part of the site.","41,191 ft 2",North County Community Church,"9915 Ray White Road, Keller, Texas 76244",(817) 379-1052,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028406,Shanks Architects,"901 Main Street, Suite 4940, Dallas, Texas 75202",(214) 522-4033,
My Lan Restaurant,TABS2026028402,Asia City Centre,"2209 Sherry St (suite TBD), Arlington, TX 76010",Tarrant,9/1/2026,3/1/2027,"$600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","commercial interior finish-out with architectural, mechanical, electrical, plumbing, gas, and kitchen hood work","2,900 ft 2",Asia City Centre Development Company,"2909 E Arkansas Ln #C225, Arlington, Texas 76010",682-552-1537,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028402,,,,Tuan Ngo
Google Addison Level 12 and 13 Renovation,TABS2026028399,FPG Colonnade LP,"15303 North Dallas Parkway, Addison, TX 75001",Tarrant,8/20/2026,12/14/2026,"$3,705,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovations for 12 and 13th floor ,"13,475 ft 2","Trigild Texas, Inc.","8111 Douglas Ave suite 600, Dallas, Texas 75225",858-242-1227,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028399,,,,
Capp Smith Park Food Truck Improvements,TABS2026028366,City of Watauga,"7101 Whitley Road, Watauga, TX 76148",Tarrant,9/18/2026,4/30/2027,"$2,600,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Improvements are located within 2 acres existing park and rec space. Improvements include Removal of chain link back stop, trail and sidewalk connections and replacement of concrete trail connections, sidewalk connections, parking lot improvements,","871,205 ft 2",City of Watauga,"7901 Indian Springs Rd, Watauga, Texas 76148",(817) 514-5890,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028366,Dunaway Associates,"550 Bailey Ave., Suite 400, Fort Worth, Texas 76107",817.264.6971,
Mount Olive Renovation,TABS2026028362,Mount Olive Baptist Church,"1341 West Mockingbird Lane, Arlington, TX 75247",Tarrant,9/30/2026,12/1/2026,"$432,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior remodel: second floor kids play area including reading room and historical room on ground floor,"1,330 ft 2",Mount Olive Baptist Church,"301 W Sanford Street, Arlington, Texas 76011",(817) 521-8291,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028362,Thompson Sada,"1341 West Mockingbird Lane, Dallas, Texas 75247",(972) 807-3040,
PPG Aerospace Arlington Plant 1 Coating Room,TABS2026028332,PPPG Aerospace Texas Transparencies Operations,"925 Avenue H East, Arlington, TX 76011",Tarrant,8/31/2026,11/21/2026,"$8,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation of an existing building,"20,000 ft 2",Texstars LLC dba PPG Industries Inc,"802 East J Ave., Grand Prairie, Texas 75050",(972) 647-1366,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028332,Kirksey Architecture,"143 Manufacturing Street, Dallas, Texas 75207",(713) 426-7497,
"ATT - TX, Fort Worth - 2834 S. Hulen St",TABS2026028323,ATTR Store,"2834 S Hulen, Fort Worth, TX 76109",Tarrant,1/8/2027,4/9/2027,"$261,927",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remodeling and downsizing existing ATT Store, 2277 sqft","2,277 ft 2","Hulen Office Plaza Partners, Ltd.","3517 Locke Ave., Fort Worth, Texas 76107",(817) 820-1511,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028323,Croft,"3380 Blue Springs Rd, Kennesaw, Georgia 30144",(470) 231-3115,Luke Brummell
WEAVER WAREHOUSE,TABS2026028322,WEAVER WAREHOUSE,"2417 WEAVER ST, Haltom City, TX 76117",Tarrant,9/1/2026,4/1/2027,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",8949SF new PEMB building on 1.8 ac,"8,949 ft 2","CanTex Weaver, LLC","107 Pittsburg St, Dallas, Texas 75207",214-298-9153,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028322,Agent Architecture,"1414 Belleview St #150, Dallas, Texas 75215",214.775.0823,
MarieLouLou Office,TABS2026028321,MarieLouLou Office,"912 E Oleander St, Fort Worth, TX 76104",Tarrant,10/1/2026,1/30/2027,"$500,000",New Construction,"This project is privately funded, on private land for private use.",Ground up new single story mixed use building.,"5,930 ft 2",Melchiors Holdings LLC,"1201 Evans Ave Suite 301, Fort Worth, Texas 76104",(817) 366-6951,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028321,Mel/Arch Studio,"1201 Evans Ave Suite 300, Fort Worth, Texas 76104",(817) 653-3007,Jie Melchiors
Oncore Remodel Fort Worth TX @ 2100 Great SW Pkwy,TABS2026028305,Oncore Building,"2100 Great SW Pkwy, Fort Worth, TX 76106",Tarrant,10/1/2026,2/1/2027,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodel of an existing commercial structure.,"11,847 ft 2",ARCP ID MESA PORTFOLIO LLC,"11995 EL CAMINO REAL, SAN DIEGO, California 92130",(858) 284-5277,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028305,"Relevant Studio, LLC","610 Holcomb St, Springdale, Arkansas 72764",479-936-6852,
