project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
XUANLOCKS FRUITS AND FOODIES,TABS2026005975,ASIA CITY CENTER,"2209 SHERRY ST #STE. 113, Arlington, TX 76010",Tarrant,12/1/2025,3/1/2026,"$250,000",New Construction,"This project is privately funded, on private land for private use.",NEW CONSTRUCTION ,"3,000 ft 2",Asia City CentER Development Company,"9204 WHISTLEWOOD DR, KELLER, Texas 76244",(682) 552-1537,THANH NGUYEN,NGUYEN CHAU DESIGNER & CONSULTING,"1207 FOX CHASE DR, MANSFIELD, Texas 76063",(682) 583-0921,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005975
Sage Homes Burleson,TABS2026005967,Sage Homes Burleson,"200 Old Highway 1187, Burleson, TX 76028",Tarrant,2/2/2026,2/2/2028,"$47,672,154",New Construction,"This project is privately funded, on private land for private use.",Rentable apartments,"285,462 ft 2",Alterrian Capital LLC,"5763 S State Highway 205, Rockwall, Texas 75032",(469) 393-1129,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005967
Stockyards Hotel - Front Canopy & Back Patio,TABS2026005938,Stockyards Hotel,"109 East Exchange Avenue, Fort Worth, TX 76164",Tarrant,1/1/2026,12/31/2026,"$1,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Addition of new front canopy on existing Stockyards Hotel building and addition of back patio canopy and new outdoor bar and seating area on backside of existing building to replace existing dilapidated decking area.,"3,100 ft 2","Delightful Boutiques 31, LLC","13191 Crossroads Parkway North Suite 600, City of Industry, California 91746",(817) 710-7389,,Nunzio Marc DeSantis Architects,"1617 Hi Line Dr Suite 190, Dallas, Texas 75207",(214) 843-2827,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005938
HYPERKIDZ,TABS2026005913,HyperKidz Fort Worth Indoor Playground,"455 Sherry Lane, Fort Worth, TX 76114",Tarrant,11/15/2025,3/15/2026,"$1,500,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior build out of an existing commercial shell to construct a children's indoor playground with themed play zones, cafe, party rooms, restrooms and amenities","17,093 ft 2",Suri Westover Village Inc,"9867 Wichita Falls, Wichita Falls, Texas 76308",(778) 985-7874,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005913
O'Reilly DC46 interior demolition,TABS2026005908,O'Reilly Auto Parts DC46,"1200 Intermodal Pkwy, Fort Worth, TX 76177",Tarrant,1/2/2026,3/2/2026,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior demolition only. No new construction work. Removal of non-load bearing walls, doors and frames, interior windows, casework, finishes, ceilings, ductwork, plumbing fixtures, lighting & outlets.","562,500 ft 2","O'Reilly Auto Enterprises, LLC","233 S. Patterson St., Springfield, Missouri 65802",(417) 868-4251,,"Manuel Zeitlin Architects, LLC","516 Hagan St suite 100, Nashville, Tennessee 37203",(615) 256-2880,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005908
"Abram Pizza, Inc. DBA Little Caesars",TABS2026005904,Little Caesars,"816 E Abram St Ste 108, Arlington, TX 76010",Tarrant,4/28/2025,9/19/2026,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior work for a new Little Caesars restaurant, grease interceptor replacement, and new signage installation.",800 ft 2,ABRAM COLLINS LTD,"7005 CHASE OAKS BLVD STE 200, Plano, Texas 75025",469-916-8888,"Abram Pizza, Inc",Reese Design Services,"6420 Richmond Ave suite 345, Houston, Texas 77057",(713) 894-0132,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005904
CITYVET (WEST 7TH),TABS2026005888,CITYVET,"2501 WEST 7TH ST, SUITE 101, Fort Worth, TX 76107",Tarrant,11/14/2025,12/22/2025,"$645,104",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR REMODEL FOR VET CLINIC ,"4,530 ft 2",WEST 7TH ST 1 INC,"306 W 7TH ST STE 701, FORT WORTH, Texas 76107",(817) 877-4646,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005888
FOUNTAINS FELLOWSHIP-CHURCH  CHILD CARE CENTER RENOVATION,TABS2026005876,POWERHOUSE RETAIL/THE FOUNTAINS FELLOWSHIP CHURCH,"812 S CROWLEY RD SUITE B na, Crowley, TX 76036",Tarrant,1/1/2026,6/30/2026,"$158,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","RENOVATION OF INTERIOR CLASSROOM AND ACTIVITY SPACES TO SUPPORT IN-SERVICE CHILD CARE DURING REGULAR CHURCH PROGRAMMING. NO CHANGE TO OCCUPANCY, USE, OR SQUARE FOOTAGE.","2,660 ft 2",powerhouse partners llc,"812 S CROWLEY RD, CROWLEY, Texas 76036",(817) 729-5444,Britton Womble,97W,"901 S Main Street, Fort Worth, Texas 76104",(817) 966-9823,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005876
Alliance McPherson Spec Office Build-Out,TABS2026005870,Alliance - McPherson,"11000 South Freeway Suite 104, Fort Worth, TX 76140",Tarrant,12/19/2025,4/24/2026,"$475,000",New Construction,"This project is privately funded, on private land for private use.",Interior build-out of a spec office within an existing shell building.,"2,886 ft 2",South Freeway Fort Worth Owner LP,"820 Gessner Rd. Suite 1000, Houston, Texas 77024",(713) 800-1774,,Seeberger Architecture,"2555 Central Parkway, Houston, Texas 77092",832-831-3410,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005870
Brake Masters Heritage,TABS2026005853,Brake Masters,"9800 Chloe Creek Drive, Fort Worth, TX 76177",Tarrant,2/16/2026,9/16/2026,"$1,700,000",New Construction,"This project is privately funded, on private land for private use.","new construction, 5,900 sf automotive maintenance facility","5,900 ft 2","Heights Properties, LLP","6179 E. Broadway Blvd., Tucson, Arizona 85711",(520) 512-0000,,Bramic Design Group,"10820 E. Calle Linda Vista, Tucson, Arizona 85748",(520) 401-9183,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005853
"Interior Remodel - Fort Worth, TX",TABS2026005850,Interior Remodel,"1401 Foch Street, Fort Worth, TX 76107",Tarrant,12/1/2025,1/1/2026,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Scope of work is for a 24,117 sq ft interior remodel.","24,117 ft 2",1401 FOCH STREET LLC,"1401 Foch Street, Suite 10, Fort Worth, Texas 76107",817.602.7810,,Franz Architects,"7608 Benbrook Parkway, Benbrook, Texas 76126",(817) 737-9922,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005850
Siemens Parking Lot Expansion,TABS2026005829,Siemens,"501 Fountain Pkwy,, Grand Prairie, TX 75050",Tarrant,12/1/2025,2/27/2026,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Alteration to expand existing parking lot to provide additional spaces.,"16,427 ft 2",SIEMENS ENERGY & AUTOMATION,"3850 Quadrangle Boulevard MS AFS 433, Orlando, Florida 32817",(512) 924-4132,,Meinhardt & Associates Architects P.L.L.C.,"14643 Dallas Parkway Suite 636, Dallas, Texas 75254",(972) 980-8980,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005829
"Barry's Southlake, TX",TABS2026005828,Park Village Shopping Mall,"1081 E Southlake Blvd.  Suite 170, Southlake, TX 76092",Tarrant,1/12/2026,5/18/2026,"$800,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior build out in an existing demised space into fitness studio.  Scope includes carpentry, structural, mechanical, electrical and plumbing; 4,097 Sq Ft","4,097 ft 2","5C SL Park Village, LLC","20405 State Hwy 249, Suite 810, Houston, Texas 77070",(281) 251-5550,Michael Martinez,DxU Architects,"412 S. Wells Street, Floor 2, Chicago, Illinois 60607",(312) 955-0334,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005828
Hillwood Interior Renovation - South Wing,TABS2026005813,Hillwood Commons One,"9800 Hillwood Parkway, Suite 300, Fort Worth, TX 76177",Tarrant,12/1/2025,2/1/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior renovation for few spaces on the 3rd floor of an existing multi-story office building as shown on plan with minor MEP adjustments including; relocating the entry to the suite, relocating a conference room, and relocating some doors","1,601 ft 2","Parkway North No. 1, LP","3000 Turtle Creek Blvd. Suite 300, Dallas, Texas 75219",817-224-6368,,GFF Design,"3030 Nowitzki Way Suite 400, Dallas, Texas 75219",(214) 303-1500,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005813
4th Floor Public Corridor and Restrooms,TABS2026005801,Kirkwood Oaks,"3120 Sabre Drive, Southlake, TX 76092",Tarrant,11/14/2025,1/30/2026,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Creation of public corridor, upgrade restrooms","4,400 ft 2",SC Southlake Owner LLC,"16400 N. Dallas Parkway Suite 150, Dallas, Texas 75248",(972) 759-7700,,Schwabauer Design,"1600 N. Collins Suite 1900, Richardson, Texas 75098",(469) 804-2400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005801
