project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Gulf Coast Pavers,TABS2026016833,Gulf Coast Pavers,"400 W. Hurst Blvd, Hurst, TX 76053",Tarrant,8/5/2026,12/5/2027,"$3,000,000",New Construction,"This project is privately funded, on private land for private use.",New Office building New Tenant Building and New Warehouse building,"15,162 ft 2",Improvement Capital LLC,"3402 Mercer St, Houston, Texas 77027",713-667-5457,Architettura Inc,"808 18th Street, Plano, Texas 75074",(972) 509-0088,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016833,
Casa Abuela,TABS2026016819,Six Flags Over Texas,"2201 E. Road to Six Flags Suite 207, Arlington, TX 76011",Tarrant,4/16/2026,5/25/2026,"$1,500,000",New Construction,"This project is privately funded, on private land for private use.",Ground up restaurant and retail building for Six Flags Over Texas.,882 ft 2,Six Flags Over Texas,"2201 E. Road to Six Flags, Arlington, Texas 76011",(817) 915-1409,"Quorum Architects, Inc","825 W Vickery Blvd Suite 100, Fort Worth, Texas  7610",(817) 546-6311,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016819,
Cowtown SNIP,TABS2026016817,Cowtown SNIP,"4474 Bryant Irvin Ste 901, Fort Worth, TX 75442",Tarrant,5/4/2026,8/31/2026,"$307,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Basic veterinary care for dogs and cats,"2,560 ft 2",ABM BBI,"12835 Preston Rd ste 405, Dallas, Texas 75230",(713) 598-8225,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016817,
Expansion of RTCC Facility,TABS2026016778,Tactical Center,"3900 Barnett Street, Fort Worth, TX 76103",Tarrant,8/31/2026,6/30/2027,"$4,352,624",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","The new space will incorporate a new real time crime center room, server room to support the rtcc, it support room, break room, copy room, training room updates, and supervisor, admin and lieutenant offices - at approximately 5,675 square feet.  Seco","6,635 ft 2",City of Fort Worth,"100 Fort Worth Trail, Fort Worth, Texas 76102",(817) 392-8078,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016778,
F&M Body Shop,TABS2026016752,F&M Body Shop,"2439 Dalworth, Grand Prairie, TX 75050",Tarrant,3/12/2026,4/30/2026,"$500,000",New Construction,"This project is privately funded, on private land for private use.","Metal Bldg for Body Shop w/ office, RR & breakroom.","5,866 ft 2",Luis Miguel Alcaraz,"2439 Dalworth, Grand Prairie, Texas 75050",(817) 262-9382,DDS Group,"123 W Main St, Ste 120, Grand Prairie, Texas 75050",469-999-0800,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016752,
"Shell Building - Fort Worth, TX",TABS2026016736,Shell Building,"TBD McPherson Blvd, Fort Worth, TX 76123",Tarrant,6/1/2026,4/15/2027,"$1,050,000",New Construction,"This project is privately funded, on private land for private use.","Scope of work is for construction of a new 12,000 sq ft retail shell building.","12,000 ft 2",McPherson Holdings LLC,"251 E Southlake Blvd, Suite 100, Southlake, Texas 76092",817-337-3433,Franz Architects,"7608 Benbrook Parkway, Benbrook, Texas 76126",(817) 737-9922,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016736,
BSN,TABS2026016695,Arlington Business Center B1,"410 E Bardin Road, Arlington, TX 76018",Tarrant,4/30/2026,10/30/2026,"$19,000,000",New Construction,"This project is privately funded, on private land for private use.",Interior Construction,"250,675 ft 2","Arlington BC Owner, LLC","8111 Douglas Avenue Suite 600, Dallas, Texas 75225",(214) 740-3363,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016695,
USRC Heritage Home,TABS2026016673,USRC Heritage Home,"3124 Capital Way, Fort Worth, TX 76244",Tarrant,5/1/2026,3/1/2027,"$546,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","THIS PROJECT CONSISTS OF INTERIOR OF A 4,550 S.F. TENANT INTERIOR BUILD-OUT  TENANT IMPROVEMENT PROJECT OF A SINGLE STORY BUILDING INTO A NEW HOME THERAPY DIALYSIS  CLINIC WITH 5 HOME THERAPY CHAIRS AND SUPPORT OFFICES. THE CLINIC WILL ALSO INCLUDE A","4,550 ft 2","RACN East Realty, LLC","1902 Windsor Place Suite 102, Fort Worth, Texas 76110",(682) 207-1700,eStudio Architecture,"1824 Spring St Suite 100, Houston, Texas 77007",(985) 237-9797,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016673,
Dermatology Southwest,TABS2026016657,Dermatology Southwest,"1005 E. FM 1187, Suite 103, Crowley, TX 76036",Tarrant,4/15/2026,10/1/2026,"$367,048",New Construction,"This project is privately funded, on private land for private use.",2820 sf interior finish-out,"2,820 ft 2",Sidra Realty,"6813 St. Andrews Court, Fort Worth, Texas 76132",(817) 966-0500,Schawburg Architects,"8432 Blue Heron Ct., Fort Worth, Texas 76108",(817) 991-0132,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016657,
GE Aerospace Carter Field Facility,TABS2026016651,GE Aerospace Carter Field Facility,"15225 FAA Blvd, Fort Worth, TX 76155",Tarrant,8/3/2026,12/8/2027,"$35,000,000",New Construction,"This project is privately funded, on private land for private use.",The project includes full demolition and removal of existing building components to accommodate new construction and modifications.,"26,232 ft 2",GE ENGINE SERVICES DALLAS LP,"4211 METRO PKWY # 1B, Fort Myers, Florida 33916",513-560-4178,Burns and McDonnell Engineering Co.,"9400 Ward Parkway, Kansas City, Missouri 64114",(913) 620-7461,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016651,
HEB Alliance - Tortilla Room Remodel,TABS2026016628,HEB Corp#801,"3451 Heritage Trace Parkway, Fort Worth, TX 76244",Tarrant,8/3/2026,9/14/2026,"$364,979",Renovation/Alteration,"This project is privately funded, on private land for private use.",748 SF relocation of tortilla machines from the Tortilla room to the Bakery. Addition of a new cooler with carts and racks in place of existing Tortilla room. The existing building foot print will remain ,748 ft 2,"H-E-B Grocery Company, LP","646 South Flores Street, San Antonio, Texas 78204",(210) 325-9952,RSP Architects,"600 W 6th Street, Ste 100, Fort Worth, Texas 76102",(682) 200-0340,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016628,
LONE STAR PET IMAGING,TABS2026016624,HAWKINS BUSINESS PARK,"7273 HAWKINS VIEW DRIVE, Fort Worth, TX 76132",Tarrant,5/4/2026,8/27/2026,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of a 2,183 sqft doctor's office into an imaging center. ","2,183 ft 2","AXON REAL ESTATE, LLC.","713 GRAINGER STREET 7178 Yellowstone Drive, FORT WORTH, Texas 76104",(682) 429-8613,"NuPlan Group, LLC.","7178 Yellowstone Drive Fisco, Texas 75033, Frisco, Texas 75033",(469) 222-8240,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016624,AMIR RANA
Phase 2 Traffic Management Center 4th Floor City Tower,TABS2026016611,Arlington City Tower,"101 S Mesquite St, Arlington, TX 76010",Tarrant,6/1/2026,9/1/2026,"$750,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","This project consists of renovation to a 1,689 square feet portion of the 4th floor of the city tower building to accommodate administrative offices to support the traffic management center (TMC) issued as phase 1 separate from this project.","1,689 ft 2",City of Arlington Texas,"101 W. Abram Street, Arlington, Texas 76010",(817) 459-6558,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016611,
220 N. Mitchell Road Finish-Out,TABS2026016592,220 N. Mitchell Road Office Building,"220 Mitchell Road, Mansfield, TX 76063",Tarrant,4/27/2026,6/30/2026,"$475,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",6570sf finish out of office building,"6,570 ft 2","Texolina Properties, LLC","240 N. Mitchell Road, Mansfield, Texas 76063",(817) 842-2094,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016592,
CAS ADDITION,TABS2026016580,COMPRESSED AIR SYSTEMS,"600 2ND AVE, Mansfield, TX 76063",Tarrant,5/15/2026,11/15/2026,"$3,229,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",WAREHOUSE ADDITION TO AN EXISTING BUILDING,"40,219 ft 2",BTP PROPERTIES,"600 SOUTH 2ND AVE, MANSFIELD, Texas 76063",(972) 352-6304,NATIONWIDE CONSTRUCTION,"721 S 5TH AVE, MANSFIELD, Texas 76063",(817) 473-0484,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016580,
Overton Park Nordstrom Rack,TABS2026016566,Building J,"4648 SW Loop 820, Fort Worth, TX 76109",Tarrant,7/1/2026,10/31/2026,"$630,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Remodel for a 29,766 SF cold dark shell from a second generation commercial retail lease space","29,766 ft 2",Overton Park Plaza Associates LLC,"4500 Bissonnet St. Suite 200, Bellaire, Texas 77401",(469) 289-4301,Boucher Design Group LLC,"6802 Mapleridge Suite 200, Bellaire, Texas 77401",(713) 785-3644,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016566,
IDEAL (HASLET),TABS2026016528,IDEAL DENTAL,"2157 AVONDALE-HASLET RD, Fort Worth, TX 75062",Tarrant,5/4/2026,8/10/2026,"$318,500",New Construction,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"2,170 ft 2","AG HASLET RE HOLDINGS, LLC","600 N ROBISON AVE STE 1000, OKLAHOMA CITY, Oklahoma 73102",909-915-4153,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016528,
All Saints Episcopal School - Outpost,TABS2026016517,All Saints Episcopal School,"9700 Saints Circle, Fort Worth, TX 76108",Tarrant,6/1/2026,8/1/2027,"$500,000",New Construction,"This project is privately funded, on private land for private use.","New 36,000sf science, technology, engineering, art and music building on the existing school campus. General use classrooms, science labs, music and dance studios with supporting administrative spaces.","36,000 ft 2",All Saints Episcopal School,"9700 Saints Cir, Fort Worth, Texas 76116",817-560-5700,Bennett Partners,"640 Taylor Street, Ste 2323, Fort Worth, Texas 76102",817-333-2872,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016517,
Hindu Temple of Southlake,TABS2026016503,Hindu Temple of Southlake,"595 S. Kimball, Southlake, TX 76092",Tarrant,4/15/2026,11/15/2026,"$750,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Add 7 Deity, move restrooms, remove walls and make worship area larger, install grease trap, new flooring, paint and exterior work.","10,147 ft 2",North Texas Hindu Heritage Society,"595 S. Kimball Ave., Southlake, Texas 76092",(917) 250-5147,Lambdin Architects,"1340 Twisting Wind Dr., Haslet, Texas 76052",(817) 691-6621,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026016503,
