project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,design_name,design_address,design_phone,tenant_name
Vickory Place,TABS2025013094,Vickory Place,"6728 W. Vickory Blvd, Fort Worth, TX 76116",Tarrant,4/1/2025,12/31/2025,"$300,000",New Construction,"This project is privately funded, on private land for private use.","Site development, build shell building","7,000 ft 2",TJ Dream Maker,"1600 E. Pioneer Pkwy Suite 333, Arlington, Texas 76010",(512) 771-7637,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013094,,,,
Marine Creek Parkway Phase 2 at IH-820 Interchange,TABS2025013088,Intersection of Marine Creek Parkway and interstate 820 Frontage Roads,"4577 Marine Creek Pkwy, Fort Worth, TX 76106",Tarrant,10/1/2025,7/1/2026,"$319,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Installation of turn lanes, Crosswalks, sidewalks, curb ramps, signage and pavement markings. 420 Sy of prop sidewalk ","3,780 ft 2",City of Fort Worth,"200 Texas Street,, Fort Worth, Texas 76102",(817) 392-7254,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013088,Kimley-Horn,"801 Cherry St. Suite 1300, Unit 11, Fort Worth, Texas 76102",(817) 339-2281,
Camp Bowie Boulevard & Bryant Irvin Road Intersection Improvements,TABS2025013085,Intersection of Camp Bowie Boulevard and Bryant Irvin Road,"5930 Camp Bowie Blvd, Fort Worth, TX 76107",Tarrant,5/29/2025,2/1/2026,"$115,700",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","Installation of turn lanes, crosswalks, sidewalks, curb ramps, signage, and pavement markings. 420SY of prop sidewalk. ","3,780 ft 2",City of Fort Worth,"100 Fort Worth Trail, Fort Worth, Texas 76102",(682) 210-9846,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013085,Kimley-Horn,"801 Cherry St. Suite 1300, Unit 11, Fort Worth, Texas 76102",(817) 339-2281,
Maverick Autonomous Vehicle Research Center MAVRC,TABS2025013083,Maverick Autonomous Vehicle Research Center MAVRC,"1827 Robotics Place, Fort Worth, TX 76118",Tarrant,2/24/2025,6/17/2025,"$2,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.",New Modular office building adjacent to a new exterior netted enclosure assembly for testing drones.,"18,720 ft 2",University of Texas at Arlington,"1225 W. Mitchell St. Suite 205, Arlington, Texas 76019",(817) 272-2396,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013083,University of Texas at Arlington,"1225 W. Mitchell Ave. Suite 205, Arlington, Texas 76019",(817) 272-2396,
City Cave - Southlake TX,TABS2025013051,City Cave,"181 W. Southlake, Southlake, TX 76092",Tarrant,4/21/2025,7/7/2025,"$490,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",1st time fit out a new shell commercial space for a spa / massage wellness commercial space ,"2,200 ft 2","Chungs Family Estates, LLC","181 W Southlake Blvd suite 100, Southlake, Texas 76092",(214) 909-0145,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013051,QSR and R,"584 Bellerive Road Suite 3D, Annapolis, Maryland 21409",(585) 613-2558,Chris Delio
ATWELL SUITES MANSFIELD TX,TABS2025013050,ATWELL SUITES MANSFIELD TX,"TURNER WARNELL RD NEAR HWY 157 N, Mansfield, TX 76063",Tarrant,3/31/2025,5/31/2026,"$6,500,000",New Construction,"This project is privately funded, on private land for private use.",NEW HOTEL PROJECT,"58,212 ft 2",JD DESIGN & DEVELOPERS LLC,"2316 SHACKLEFORD TRAIL, GRAND PRAIRIE, Texas 75052",(817) 307-6722,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013050,RSS ARCHITECTS LLC,"PO BOX 67, FLINT, Texas 75762",(817) 538-9258,
STAYBRIDGE SUITES MANSFIELD TX,TABS2025013049,STAYBRIDGE SUITES MANSFIELD TX,"TURNER WARNELL RD NEAR HWY 157 N, Mansfield, TX 76063",Tarrant,3/31/2025,5/31/2026,"$6,500,000",New Construction,"This project is privately funded, on private land for private use.",NEW HOTEL PROJECT,"74,716 ft 2",JD DESIGN & DEVELOPERS LLC,"2316 SHACKLEFORD TRAIL, GRAND PRAIRIE, Texas 75052",(817) 307-6722,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013049,RSS ARCHITECTS LLC,"PO BOX 67, FLINT, Texas 75762",(817) 538-9258,
Martin-Baker TI,TABS2025013037,Martin-Baker TI,"13901 Aviator Way, Fort Worth, TX 76177",Tarrant,3/31/2025,6/23/2025,"$173,734",New Construction,"This project is privately funded, on private land for private use.","New construction of a shop area, office, conference room, & storage closet","3,046 ft 2","ABP NO.2, LLC","9800 Hillwood Parkway Suite 300, Fort Worth, Texas 76177",817-224-6000,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013037,RGA Architects,"301 South Oak St Suite 100, Roanoke, Texas 76262",(817) 430-3382,
"MISTER 01 7TH TFO - FTW, TX",TABS2025013018,"MISTMISTER 01 7TH TFO - FTW, TX","628 HARROLD STREET STE 110, Fort Worth, TX 76107",Tarrant,5/1/2025,8/31/2025,"$450,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Existing Tenant Space (Restaurant) Conversion to Mister O1 Pizza,"3,240 ft 2","MCP WEST FORK, LLC","2121 N PEARL STREET STE 250, DALLAS, Texas 75201",(972) 404-4368,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025013018,"JAW ARCHITECTS, INC.","6115 CAMP BOWIE BLVD STE 200, FORT WORTH, Texas 76116",(817) 705-3387,
COSMO NAIL LOUNGE,TABS2025012986,SPROUTS SHOPPING CENTER,"1682 SW WILSHORE BLVD #STE. 135, Burleson, TX 76028",Tarrant,4/1/2025,7/1/2025,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",FINISH OUT ,"3,500 ft 2",SPROUTS SHOPPING CENTER,"1685 SW WILSHIRE BLVD, BURLESON, Texas 76028",(615) 982-3635,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025012986,NGUYEN CHAU DESIGNER & CONSULTING,"1207 FOX CHASE DR, MANSFIELD, Texas 76063",(682) 583-0921,SIMON NGO
