project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,project_url,design_name,design_address,design_phone
Dagger Office Renovation,TABS2025001510,1862 Keller Parkway,"1862 Keller Parkway, Keller, TX 76248",Tarrant,9/23/2024,11/15/2024,"$175,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Reorientation of interior walls and bathroom renovations,"4,687 ft 2","945 Holdings, LLC","PO Box 1040, Roanoke, Texas 76262",(817) 401-1913,"Dagger Contracting, LLC",https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025001510,,,
Northstar Ambulatory Surgery Center Renovation,TABS2025001507,Northstar Ambulatory Surgery Center,"5901 S Hulen St, Fort Worth, TX 76132",Tarrant,11/1/2024,4/30/2025,"$3,350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Existing Space Modification,"8,976 ft 2",Fort Worth Renal Group,"1902 Windsor Place Suite 102, Fort Worth, Texas 76110",(682) 324-9423,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025001507,"Polkinghorn Group Architects, Inc","925 S. Capital of TX Hway Bldg A - Suite 200, Austin, Texas 78746",(512) 327-4404
MCH - Ft Worth Alliance Riverside North Texas Bone & Joint,TABS2025001502,Alliance Medical Office Building,"8800 Medical City Way, Fort Worth, TX 76177",Tarrant,10/24/2024,3/25/2025,"$1,300,000",New Construction,"This project is privately funded, on private land for private use.",Interior Design 9993 usf,"9,993 ft 2","MC Alliance MOC, LLC","8800 Medical City Way, Fort Worth, Texas 76177",(310) 266-2873,Cassie Macfarlane,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025001502,MPI Architects,"4949 Addison Circle, Addison, Texas 75001",(972) 788-0078
INSOMNIA COOKIES,TABS2025001489,MAGNOLIA HIGHLINE,"1066 W MAGNOLIA AVE, Fort Worth, TX 76104",Tarrant,11/21/2024,1/16/2025,"$241,297",Renovation/Alteration,"This project is privately funded, on private land for private use.","TENANT FINISH-OUT TO INTERIOR ONLY OF 1,756 SF OF SPACE","1,756 ft 2",Urban Genesis,"2215 Lawrence St, Houston, Texas 77008",(972) 900-5765,KAITLYNN PRICE,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025001489,ONYX CREATIVE,"25001 EMERY ROAD, SUITE 400, CLEVELAND, Ohio 44128",(216) 223-3249
Kennedale ISD | James F. Delaney Elementary School Renovation,TABS2025001488,Kennedale ISD | James F. Delaney Elementary School Renovation,"108 W Kennedale Pkwy, Kennedale, TX 76060",Tarrant,11/14/2024,5/26/2026,"$4,300,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Kennedale ISD | James F. Delaney Elementary School Renovation ,"75,670 ft 2",Kennedale ISD,"PO Box 467 Kennedale, Kennedale, Texas 76058",(817) 483-3600,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025001488,Huckabee,"801 Cherry Street Ste. 500, Fort Worth, Texas 76102",(800) 687-1229
Galaxy Park Playground Renovation,TABS2025001455,Fort Worth Museum of Science and History,"1600 Gendy St., Fort Worth, TX 76107",Tarrant,3/10/2025,12/18/2026,"$116,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Additional play equipment and safety surfacing installation.,600 ft 2,Fort Worth Museum of Science and History,"1600 Gendy St., Fort Worth, Texas 76107",(817) 255-9526,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025001455,Valley Quest Design,"222 S. Elm St. Suite 102, Denton, Texas 76201",(214) 783-1715
Pollo Amor,TABS2025001439,3415 Tiffany Park,"3415 South Copper Road, Suite 108, Arlington, TX 76015",Tarrant,10/15/2024,12/15/2024,"$180,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","A 2,500 sqft restaurant finish-out in white box. Space is in a retail shopping strip.","2,500 ft 2","3415 Tiffany Park, LLC.","3300 Matlock Road, Arlington, Texas 76015",(682) 622-0550,Olivia Arriaga,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025001439,Squarefoot Construction,"8111 LBJ Freeway, Suite 1375, Dallas, Texas 75251",(972) 310-5267
estates lane,TABS2025001424,thadeus,"6305 estates lane, Fort Worth, TX 76137",Tarrant,9/20/2024,11/15/2024,"$75,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","new ac, install store front door, installation","4,000 ft 2",Lewis Graves,"6305 estates lane, Fort Worth, Texas 76137",(817) 996-7317,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025001424,,,
Stockyards Hotel Renovation,TABS2025001410,Stockyards Hotel,"109 East Exchange Avenue, Fort Worth, TX 76164",Tarrant,1/15/2025,7/15/2026,"$20,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use."," Interior demo, construction and remodel for the 50 key, existing historic Stockyards Hotel, including a new front canopy and renovated exterior patio and revised public spaces.","26,500 ft 2","Delightful Boutiques 31, LLC","13191 Crossroads Parkway North Suite 600, City of Industry, California 91746",(903) 229-8580,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025001410,Nunzio Marc DeSantis Architects,"1617 Hi Line Drive Suite 190, Dallas, Texas 75207",(469) 730-0390
FWDC 550,TABS2025001406,FWDC 550,"1200 Heritage Trace Parkway, Fort Worth, TX 76131",Tarrant,11/4/2024,6/1/2025,"$14,570,000",Additions to Existing Building,"This project is privately funded, on private land for private use.","Installation of conveyor and racking for moving and storage of product. 144,000 sf. ","144,000 ft 2","CRP/CHI Heritage Trace Owner, LP","3819 Maple Avern, Dallas, Texas 75149",(214) 661-8094,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025001406,,,
Emergency Renovation,TABS2025001394,Texas Health Harris Methodist Hospital Fort Worth,"1301 Pennsylvania Ave, Fort Worth, TX 76104",Tarrant,11/1/2024,5/31/2025,"$2,100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","4,900sf renovation of emergency department waiting and triage areas. ","4,900 ft 2",Texas Health Fort Worth,"1301 Pennsylvania Ave, Fort Worth, Texas 76104",(817) 250-7999,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025001394,"HKS, Inc.","1227 W. Magnolia Ave. Suite 200, Fort Worth, Texas 76104",(817) 348-0330
M'ILAN NAIL LOUNGE,TABS2025001376,SHOPS @ STILLWATER,"2301 E BROAD ST #STE. 121, Mansfield, TX 76063",Tarrant,11/1/2024,2/1/2025,"$270,000",New Construction,"This project is privately funded, on private land for private use.",FINISH OUT ,"3,500 ft 2",SP FRISCO LAKE DEVELOPMENT LLC,"4940 N TARRANT PARKWAY, FORT WORTH, Texas 76244",(281) 221-6025,CON DANG,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025001376,NGUYEN CHAU DESIGNER & CONSULTING,"1207 FOX CHASE DR, MANSFIELD, Texas 76063",(682) 583-0921
ZELENE HEAD SPA - FT WORTH,TABS2025001373,VICTORY SHOPS AT HERITAGE V,"9821 NORTH FREEWAY #STE. 100, Fort Worth, TX 76177",Tarrant,11/1/2024,2/1/2025,"$270,000",New Construction,"This project is privately funded, on private land for private use.",INTERIOR FINISH OUT ,"2,370 ft 2",VICTORY SHOPS AT HERITAGE V,"2911 TURTLE CREEK BLVD #STE. 700, DALLAS, Texas 75219",(972) 707-9555,DUONG MAI,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025001373,NGUYEN CHAU DESIGNER & CONSULTING,"1207 FOX CHASE DR, MANSFIELD, Texas 76063",(682) 583-0921
LKQ Office remodel,TABS2025001335,4003 Grand lakes,"4003 Grand Lakes Way Suite 200, Grand Prairie, TX 75050",Tarrant,10/9/2024,2/13/2025,"$180,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior office remodel,"5,000 ft 2",Prologis,"2021 McKinney Ave Suite # 1050, Dallas, Texas 75201",972-884-9200,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025001335,,,
