project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,project_url,design_name,design_address,design_phone
Cheba Hut Toasted Subs,TABS2026009124,Victory Shops at Heritage VI,"9833 North Freeway, Suite 171, Fort Worth, TX 76177",Tarrant,1/18/2026,4/26/2026,"$500,000",New Construction,"This project is privately funded, on private land for private use.",First generation restaurant build out of an existing core and shell (2800sqft) ,"2,800 ft 2","Victory Shops at Heritage VI, LLC","600 S Sherman St, suite 108, Richardson, TX,, Richardson, Texas 75081",(972) 834-4892,Chance Steed,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009124,,,
Arlington ISD - Duff ES Minor Renovations,TABS2026009116,Duff Elementary School,"3100 Lynnwood Dribe, Arlington, TX 76013",Tarrant,12/30/2025,8/1/2026,"$250,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",this project is minor renovations to add storage rooms. ,"1,750 ft 2",Arlington ISD,"1201 Colorado Lane, Arlington, Texas 76015",(972) 837-9459,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009116,WRA Architects,"6000 Headquarters Drive Suite 600, Plano, Texas 75024",(214) 750-0077
360 Commerce - Phase III Bldg. 1,TABS2026009114,360 Commerce - Phase III,"2703 Arkansas Lane, Grand Prairie, TX 75052",Tarrant,2/23/2026,12/28/2026,"$1,788,000",New Construction,"This project is privately funded, on private land for private use.","Construction of a new light industrial building with a white box office, including all site work and utilities.","17,880 ft 2",TNN Enterprises LLC,"67 Misty Mesa Trail, Mansfield, Texas 76063",(214) 243-6189,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009114,"CHS Architects, Inc.","2500 NE Green Oaks Blvd. Suite 200, Arlington, Texas 76006",(817) 649-0885
360 Commerce - Phase III Bldg. 2,TABS2026009111,360 Commerce - Phase III,"2680 Aero Drive, Grand Prairie, TX 75052",Tarrant,2/23/2026,12/28/2026,"$3,411,200",New Construction,"This project is privately funded, on private land for private use.","Construction of a new light industrial building with a white box office, including all site work and utilities. ","34,112 ft 2",TNN Enterprises LLC,"67 Misty Mesa Trail, Mansfield, Texas 76063",(214) 243-6189,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009111,"CHS Architects, Inc.","2500 NE Green Oaks Blvd. Suite 200, Arlington, Texas 76006",(817) 649-0885
360 Commerce - Phase III Bldg. 3,TABS2026009110,360 Commerce - Phase III,"2685 Aero Drive, Grand Prairie, TX 75052",Tarrant,2/23/2026,12/28/2026,"$1,710,000",New Construction,"This project is privately funded, on private land for private use.","Construction of a new light industrial building with a white box office, including all site work and utilities. ","17,100 ft 2",TNN Enterprises LLC,"67 Misty Mesa Trail, Mansfield, Texas 76063",(214) 243-6189,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009110,"CHS Architects, Inc.","2500 NE Green Oaks Blvd. Suite 200, Arlington, Texas 76006",(817) 649-0885
Green Oaks Physical Therapy,TABS2026009099,1405 US 287 Retail Building,"1405 US 287 Suite 107, Mansfield, TX 76063",Tarrant,2/1/2026,1/1/2027,"$110,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Tenant Finishout 5,165 SF","5,165 ft 2",Ernst Realty Investments LLC,"400 E Broad Street Suite 101, Mansfield, Texas 76063",(713) 828-6499,Terry Jones,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009099,MPI Architects,"4949 Addison Circle, Addison, Texas 75001",(214) 914-7181
USOnTX Arlington LINAC,TABS2026009052,Arlington MOB,"515 Mayfield Rd Suite 101, Arlington, TX 76014",Tarrant,1/10/2026,3/31/2026,"$2,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","4,450 Square feet of interior renovations of an existing space and linac vault including new ceilings, partitions, doors, casework, and finishes, mechanical, plumbing and electrical systems to be modified.","4,450 ft 2","MOB 77 of Texas, LP","3000 Meridian Blvd, Franklin, Tennessee 37067",(214) 461-2305,Lisa Miseles-Huff,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009052,"RS&H, Inc.","4835 LBJ Freeway Suite 700, Dallas, Texas 75244",(469) 781-0332
Additions for Danone North America,TABS2026009038,Danone North America (FTW),"1300 W. Peter Smith St., Fort Worth, TX 76104",Tarrant,1/19/2026,9/1/2026,"$4,000,000",Additions to Existing Building,"This project is privately funded, on private land for private use.","(2) Additions (3,495 sf) and remodel (1,843 sf) to existing facility for new equipment. Revise paved areas for new work. ","5,338 ft 2",The Dannon Company INC.,"1 Maple Ave, 3rd Floor, White Plains, New York 10605",469-934-6514,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009038,"Ollmann Ernest Martin Architects, P.C.","200 South State Street, Belvidere, Illinois 61008",815-544-7790
Walmart Metroplex-Batch 3,TABS2026009025,Walmarts,"Various Locations in the Metroplex, Fort Worth, TX 76102",Tarrant,10/13/2025,2/6/2026,"$33,600,000",Additions to Existing Building,"This project is privately funded, on private land for private use.","Installing Various EV charging stations in an existing commercial parking lots (840,000 SF)","840,000 ft 2",Walmart Store Texas LLC,"2608 SE J Street, Bentonville, Arizona 72716",(479) 925-0168,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009025,"Kimley-Horn & Associates, Inc","2600 N Central Expressway, Richardson, Texas 75080",(972) 770-1322
TER-319-A PART C Terminal D MISC. Improvements,TABS2026009017,"Terminal D, DFW","2400 Aviation Dr. DFW International Airport,, Dfw Airport, TX 76051",Tarrant,2/1/2026,4/1/2027,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Projects on Concourse Level regarding small activities to allow for SSCP Enhancements Project, Approximately 5,000 sf, including the installation of terrazzo.","5,000 ft 2",DFW Airport,"P.O. Box 619428, DFW Airport, DFW Airport, Texas 75261",(405) 833-8705,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026009017,Corgan Associates,"401 N Houston St, Dallas, Texas 75202",(214) 757-1674
