project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
2337 Doreen Street - West Building,TABS2024017187,2337 Doreen Street - West Building,"151 FM 407 East Suite 200D, Grand Prairie, TX 76226",Tarrant,6/24/2024,12/31/2024,"$1,005,734",New Construction,"This project is privately funded, on private land for private use.","Pre-engineered metal building with office space, bathrooms, and warehouse space for future tenants.","17,780 ft 2",Roots Deep Development,"1420 Mockingbird Lane Suite 640, Dallas, Texas 75247",(435) 512-6771,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017187,,,,
DFW- TC Fit Out -  FLIGHT SATELLITE LOUNGE,TABS2024017186,DFW Terminal C,"3200 Aviation Drive, Euless, TX 75261",Tarrant,5/1/2024,9/30/2024,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Reconfiguration of existing space to accommodate new tenants. Total scope includes a lounge, reading room, and gun safe room. Total Area: 914 SF",914 ft 2,DFW International Airport,"P.O. Box 619428, DFW Airport, Texas 75261",972-973-1702,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017186,Logan Nelson,Corgan Associates,"401 N Houston, Dallas, Texas 75202",(214) 757-1731
DFW- TC Fit Out - AA Hydration Program - 263,TABS2024017185,DFW Terminal C,"2400 Aviation Drive, Euless, TX 75261",Tarrant,5/1/2024,9/30/2024,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Reconfiguration of existing space to accommodate new tenants. Total scope includes adding in a 6'-8' tall chain link fence, storage pallets, lockers, two sinks, ice makers, and freezers. Total square footage is 1000 sq. ft.","1,000 ft 2",DFW International Airport,"P.O. Box 619428, DFW Airport, Texas 75261",972-973-1702,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017185,Logan Nelson,Corgan Associates,"401 N Houston, Dallas, Texas 75202",(214) 248-2000
2337 Doreen Street - East Building,TABS2024017184,2337 Doreen Street - East Building,"2337 Doreen St, Grand Prairie, TX 75050",Tarrant,6/24/2024,12/31/2024,"$1,005,734",New Construction,"This project is privately funded, on private land for private use.","Pre engineered metal building with interior walls for office space, bathrooms and warehouse space for future tenants. ","17,780 ft 2",Roots Deep Development,"1420 Mockingbird Lane Suite 640, Dallas, Texas 75247",(435) 512-9771,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017184,,,,
DFW- TC Fit Out - AA Employee Gym 266,TABS2024017183,DFW Terminal C,"2400 Aviation Drive, Euless, TX 75261",Tarrant,5/1/2024,9/30/2024,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Reconfiguration of existing space to accommodate new tenants including new office, storage closets, water line for water dispenser, and exercise space with added power drops to accommodate various types of gym equipment.","1,200 ft 2",DFW International Airport,"P.O. Box 619428, DFW Airport, Texas 75261",972-973-1702,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017183,Logan Nelson,Corgan Associates,"401 N Houston, Dallas, Texas 75202",(214) 248-2000
Sweet Paris Creperie & Cafe,TABS2024017182,Sweet Paris Creperie & Cafe,"228 State Street, Southlake, TX 76092",Tarrant,7/1/2024,9/9/2024,"$900,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Build out of new restaurant in existing demised space in an existing building. Work includes demolition, carpentry, plumbing, mechanical, and electrical work.","2,588 ft 2",Kite Realty Group,"285 Grand Avenue, Suite 210, Southlake, Texas 76092",(817) 585-2080,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017182,Edward Hymes,DxU Architects,"412 South Wells Street 2nd Floor, Chicago, Illinois 60607",(312) 955-0334
DFW- TC Fit Out - AA Employee Assistance Program - EAP,TABS2024017181,DFW Terminal A,"2400 Aviation Drive, Euless, TX 75261",Tarrant,5/1/2024,9/30/2024,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Reconfiguration of existing space to accommodate new tenants. Total scope includes two new offices and a new coffee bar. Total Area: 1,326 SF","1,326 ft 2",DFW International Airport,"P.O. Box 619428, DFW Airport, Texas 75261",972-973-1702,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017181,Logan Nelson,Corgan Associates,"401 N Houston, Dallas, Texas 75202",(214) 248-2000
Dr. Wear Dental Office,TABS2024017180,5701 Birchman,"5701 Birchman Ave suite 100, Fort Worth, TX 76107",Tarrant,5/1/2024,11/1/2024,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",White box finish out of a dental clinic,"2,700 ft 2","5705 Horne Street, LLC","222 W. Exchange Ave, Fort Worth, Texas 76164",(817) 559-0124,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017180,,Patterson Dental,"1031 Mendota Heights Rd, Mendota Heights, Minnesota 55118",817-228-3321
Super Star Carwash,TABS2024017175,Super Star Carwash,"3500 North Tarrant Parkway, Fort Worth, TX 76177",Tarrant,9/1/2024,9/1/2025,"$1,200,000",New Construction,"This project is privately funded, on private land for private use.","New automated drive thru car wash facility (4,552 S.F.)","4,552 ft 2",Tim Varley,"960 W. Behrend Dr. Suite 1, Phoenix, Arizona 85027",928-890-7436,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017175,,AO Architects,"144 North Orange St., Orange, California 92866",(714) 639-9860
Greystone,TABS2024017103,Granite Place I,"500 Reserve Street, Southlake, TX 76092",Tarrant,4/28/2024,7/31/2024,"$75,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of a tenant suite.,"1,538 ft 2",Granite Properties,"5601 Granite Parkway, Suite 1200, Plano, Texas 75204",(972) 396-2356,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024017103,,Entos Design,"5400 Lyndon B Johnson Frwy, Suite 125, Dallas, Texas 75240",(972) 770-2222
