project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
Family Dollar,TABS2026006855,New York Plaza,"1401 New York Ave suite 105, Arlington, TX 76010",Tarrant,12/4/2025,2/1/2026,"$225,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",rebuild after fire,"11,351 ft 2","RPI New York Plaza, Ltd.","2929 Carlisle St., Ste. 170, dallas, Texas 75204",(972) 250-1486,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006855,,,,
The Scoops and Scootery,TABS2026006849,Heritage Trace Plaza,"3529 Heritage Trace Pkwy, Fort Worth, TX 76244",Tarrant,12/1/2025,3/20/2026,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",renovating existing location to an ice cream sundae shop,"1,306 ft 2",Whitestone REIT Operating Partnership LP,"2600 S. Gessner RD Suite 500, houston, Texas 77063",(469) 506-5313,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006849,Christian Viveiros,,,
UPNT PET/CT,TABS2026006826,Urology Partners North Texas,"811 W. I-20, Arlington, TX 76017",Tarrant,1/1/2026,6/30/2026,"$1,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of an existing space,"4,032 ft 2",Texas Health Resources,"612 E. Lamar Boulevard, Arlington, Texas 76011",(877) 847-9355,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006826,,Parkhill,"640 Taylor Street, Suite 1900, Fort Worth, Texas 76102",682-399-6440
Old Ferry Donut,TABS2026006775,Old Ferry Donut,"3980 N.E. LOOP 820 STE 700, Haltom City, TX 76117",Tarrant,12/15/2025,4/17/2026,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior finish out by tenant,"1,500 ft 2",HOUSE OF CHOI LLC,"2625 N JOSEY LN STE 340, CARROLLTON, Texas 75007",(469) 450-4588,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006775,,,,
Kroger #576 Remodel,TABS2026006761,Kroger,"4750 W Bailey Boswell Rd., Fort Worth, TX 76179",Tarrant,2/8/2026,5/29/2026,"$1,165,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Minor interior remodel of an existing grocery store. Scope of work consists of new and relocated equipment/fixtures and minor interior finish changes. ,"123,762 ft 2",Kroger Texas LP,"1014 Vine St 7th Floor, Cincinnati, Ohio 45202",(469) 645-7947,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006761,,Heights Venture Architects LLP,"5741 Legacy Dr., Suite 320, Plano, Texas 75024",(281) 854-6100
Vesper Office Remodel,TABS2026006750,Vesper Aviation FWS,"13451 Wing Way, Burleson, TX 76028",Tarrant,11/1/2025,6/1/2026,"$200,000",New Construction,"This project is privately funded, on private land for private use.","3,190 sf Office Remodel within a 7,500 sf Existing Office at the Spinks airport FBO Terminal for Vesper Aviation - No exterior work","3,190 ft 2",FWS FBO LLC and FWS Hangar LLC,"5473 Blair Road Ste 100 PMB 74172, Dallas, Texas 75231",(971) 300-6780,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006750,,"KH Architects, PLLC","11880 Younger Ct., Azle, Texas 76020",817-905-6991
"UNT Health Fort Worth, 7th Street Renovation",TABS2026006740,West 7th Street Strip Center,"3601 West 7th Street, Fort Worth, TX 76107",Tarrant,1/1/2026,7/31/2026,"$1,500,000",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.","8,000 square foot Interior Renovation for an ophthalmologist tenant.","8,000 ft 2",The University of North Texas Health Fort Worth,"901 Clifton Street, Fort Worth, Texas 76107",(817) 735-2145,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006740,,Treanor,"2554 Elm Street, Suite 200, Dallas, Texas 75226",214-310-1018
NBT Bank,TABS2026006671,Bank,"803 E Northwest Hwy, Grapevine, TX 76051",Tarrant,1/5/2026,10/5/2026,"$3,000,000",New Construction,"This project is privately funded, on private land for private use.",one story building.  wood framed with masonry and architectural metal panels on exterior - interior finishes are drywall and ceiling tiles,"3,760 ft 2",Westwood Group Development NO II LP,"5550 N Riverside Drive, Fort Worth, Texas 76137",(817) 759-9001,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006671,,Cortland Morgan Architect,"711 N Fielder Rd, Arlington, Texas 76012",(817) 635-5696
Claw Mania Kingdom,TABS2026006669,Claw Mania Kingdom,"3990 NE Loop 820 Ste.275, Haltom City, TX 76137",Tarrant,12/29/2025,3/30/2026,"$260,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Finish Out By Tenant,"4,297 ft 2",Kevin Smuckle,"3990 NE Loop 820 Ste.275, Haltom City, Texas 76137",(214) 908-1139,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006669,,,,
QuikTrip # 984 Fryer Project,TABS2026006628,QuikTrip # 984,"2601 Jacksboro Hwy, River Oaks, TX 76114",Tarrant,1/11/2026,1/26/2026,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Includes re-organization of existing kitchen equipment and addition of new fryer units. Project 300 sf.,300 ft 2,"QT South, LLC","4705 S. 129th East Avenue, Tulsa, Oklahoma 74134",(945) 455-6426,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006628,,"Daniel D. Filuk, Architect","1747 E. Morten Ave., Suite 111, Phoenix, Arizona 85020",(602) 234-1868
42846 7-11 Lake Worth TX @ Azle Ave & Paul Meador,TABS2026006623,42846 7-Eleven,"SEC Azle Ave & Paul Meador, Lake Worth, TX 76135",Tarrant,3/23/2026,1/21/2027,"$950,000",New Construction,"This project is privately funded, on private land for private use.",New construction of a convenience store with fuel sales.,"4,746 ft 2","VRE Lake Worth 7E, LLC","351 E Hudgins St, Grapevine, TX 76051, Grapevine, Texas 76051",214-662-8086,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006623,,"Relevant Studio, LLC","610 Holcomb St, Springdale, Arkansas 72764",479-936-6852
QuikTrip # 957 Fryer Project,TABS2026006617,QuikTrip # 957,"12345 South Freeway, Fort Worth, TX 76028",Tarrant,1/11/2026,1/26/2026,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Re-organization of existing kitchen equipment and addition of new fryer units. Project 300 sf.,300 ft 2,"QT South, LLC","4705 S. 129th East Avenue, Tulsa, Oklahoma 74134",(945) 455-6426,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006617,,"Daniel D. Filuk, Architect","1747 E. Morten Ave., Suite 111, Phoenix, Arizona 85020",(602) 234-1868
Babies on the Boulevard,TABS2026006610,5013 El Campo,"5013 El Campo, Fort Worth, TX 76107",Tarrant,1/5/2026,10/1/2026,"$820,000",New Construction,"This project is privately funded, on private land for private use.","New ground-up construction of a 1-story business building including site improvements, mechanical, electrical, and plumbing. ","2,302 ft 2",BARD 5013 EL CAMPO AVE LLC,"3800 Lynncrest Dr, Fort Worth, Texas 76109",(817) 456-2280,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006610,,97w LLC,"901 S Main St, Fort Worth, Texas 76104",(817) 882-6940
QuikTrip #0882 Fryer Project,TABS2026006598,QuikTrip #0882,"2501 NE 28th Street, Fort Worth, TX 76106",Tarrant,1/11/2026,1/26/2026,"$125,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Includes reorganization of existing kitchen equipment and addition of new fryer units. 300sf,300 ft 2,"QT SOUTH, LLC","4705 S. 129th East Ave, TULSA, Oklahoma 74134",(945) 455-6426,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006598,,"DANIEL D. FILUK, ARCHITECT","1747 E. MORTEN AVE SUITE 111, PHOENIX, Arizona 85020",(602) 234-1868
777 HOT POT & BBQ,TABS2026006597,ASIA CITY CENTRE,"2209 SHERRY ST #STE. 115, Arlington, TX 76010",Tarrant,12/1/2025,3/1/2026,"$350,000",New Construction,"This project is privately funded, on private land for private use.",NEW CONSTRUCTION ,"5,000 ft 2",Asia City Centre Development Company,"9204 WHISTLEWOOD DR, FORT WORTH, Texas 76244",(682) 552-1537,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026006597,Tan Tai Vo,NGUYEN CHAU DESIGNER & CONSULTING,"1207 FOX CHASE DR, MANSFIELD, Texas 76063",(682) 583-0921
