project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Lifetime Roofing,TABS2025017026,5109 Commercial Dr,"5109 Commercial Dr, Suites A & B, North Richland Hills, TX 76180",Tarrant,5/5/2025,7/4/2025,"$170,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Relocation of demising wall between Suites A & B, demo and renovation of all of Suite A for offices, & sitework to provide accessible parking & accessible route to building entrances.","3,711 ft 2",Lifetime Roofing,"500 Grapevine Hwy Suite 200, Hurst, Texas 76054",(817) 655-3537,Daniels & Lovelady Architecture,"669 Airport Freeway Suite 101, Hurst, Texas 76053",(817) 510-6730,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017026,
City of Fort Worth Neighborhood Parks Improvements - Timberland,TABS2025017019,Timberland Park,"4400 Keller Haslet Road, Fort Worth, TX 76244",Tarrant,7/1/2025,1/1/2026,"$475,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","7,300 SF of trail and playground improvements.","7,300 ft 2",City of Fort Worth Park & Recreation Department,"100 Fort Worth Trail, Fort Worth, Texas 76040",(817) 392-5724,Olsson,"1814 Main Street, Kansas City, Missouri 64108",816-842-8844,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017019,
City of Fort Worth Neighborhood Parks Improvements - Mosier,TABS2025017016,Mosier Valley Park,"11220 Mosier Valley Road, Fort Worth, TX 76040",Tarrant,6/1/2025,12/1/2025,"$650,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","29,900 SF of trail and amenity improvements consisting of picnic tables, benches, tennis/pickleball court, and playground. 3,800 SF of additional parking.","33,700 ft 2",City of Fort Worth Park & Recreation Department,"100 Fort Worth Trail, Fort Worth, Texas 76040",(817) 392-5724,Olsson,"1814 Main Street, Kansas City, Missouri 64108",816-842-8844,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017016,
City of Fort Worth Neighborhood Parks Improvements - Coventry,TABS2025017013,Coventry Hills Park,"8500 Western Meadows Drive, Fort Worth, TX 76244",Tarrant,6/1/2025,12/1/2025,"$630,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","35,750 SF of trail with bench pads and playground.","35,750 ft 2",City of Fort Worth Park & Recreation Department,"100 Fort Worth Trail, Fort Worth, Texas 76102",(817) 392-5724,Olsson,"1814 Main Street, Kansas City, Missouri 64108",816-842-8844,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025017013,
Mansfield City Hall,TABS2025016996,Mansfield City Hall,"1200 Broad Street, Mansfield, TX 76063",Tarrant,5/5/2025,12/31/2026,"$45,000,000",New Construction,"This project involves public funds, public land, or is a Federally funded roadway project.","Completion of new approximately 70,000SF, 3-story City Hall, with site development.","70,000 ft 2",City of Mansfield,"1200 E Broad Street, Mansfield, Texas 76063",(817) 276-4260,Parkhill,"3000 Internet Blvd Suite 550, Frisco, Texas 75034",(972) 978-4499,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016996,
Pixel Jump,TABS2025016991,Pixel Jump,"3529 Heritage Trace Pkwy #125,, Fort Worth, TX 76244",Tarrant,5/31/2025,9/24/2025,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior remodeling by tenant,"4,264 ft 2",Kimi H,"3529  Heritage Trace Pkwy #125,, Fort Worth, Texas 76244",(817) 888-5582,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016991,
LISA'S CHICKEN & SEAFOOD,TABS2025016975,LISA'S CHICKEN & SEAFOOD,"6321 WICHITA STREET, Forest Hills, TX 76119",Tarrant,4/30/2025,12/31/2025,"$50,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",EXISTING WENDY'S RESTAURANT TO BE CONVERTED TO A CHICKEN AND SEAFOOD RESTAURANT WITH TO-GO SERVICE - WORK INCLUDES MEP AND ASSOCIATED WORK ...,"2,523 ft 2","TVN FAMILY HOLDINGS, LLC.","2315 NW 24TH STREET, FORT WORTH, Texas 76164",(817) 715-3799,ZASAN + ZASAN HOLDING GROUP,"4020 N MCARTHUR BLVD, #122-127, IRVING, Texas 75038",(214) 862-3670,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016975,
601 Bailey Remodel,TABS2025016962,601 Bailey,"601 Bailey Ave, Fort Worth, TX 76107",Tarrant,5/15/2025,8/15/2025,"$475,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior remodel of existing office building,"4,700 ft 2",601 Bailey LLC,"451 S Main St Ste 200, Fort Worth, Texas 76104",(817) 602-9129,"urban bobcat Architects, PC","451 S Main St Ste 200, Fort Worth, Texas 76104",(817) 602-9129,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016962,
West River Homes - S University,TABS2025016923,West River Homes - S University,"3200/ 3208 S University Drive, Fort Worth, TX 76109",Tarrant,6/2/2025,7/2/2026,"$2,376,657",New Construction,"This project is privately funded, on private land for private use.","New ground up construction of (2) 3-story multifamily buildings including site improvements, interiors, mechanical, electrical, and plumbing. ","17,395 ft 2",West River Homes,"830 Taylor Street, Fort Worth, Texas 76104",(940) 452-1275,Studio 97w,"901 S Main Street, Fort Worth, Texas 76104",(817) 882-6940,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016923,
ACN Fossil Creek Suite Finish Out,TABS2025016920,ACN Warehouse,"5757 Fossil Creek, Fort Worth, TX 76137",Tarrant,5/28/2025,11/14/2025,"$200,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Finish out of a suite in an existing shell,"2,500 ft 2",ACN,"1163 Fairway Drive, City of Industry, California 91789",(909) 839-8331,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025016920,
