project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
WELLGUARDIA,TABS2026029168,WELLGUARDIA,"1741 E DEBBIE LN #STE. 110, Mansfield, TX 76063",Tarrant,9/1/2026,9/1/2027,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",TENANT FINISH OUT ,"1,147 ft 2",SCSD-FINNELL,"14114 DALLAS PKWY #STE. 670, DALLAS, Texas 75254",(214) 483-0400,SIRAJ SARDAR,BEAR DESIGN BUILD,"2965 VILLA CREEK DR #STE. 110, DALLAS, Texas 75234",(469) 682-7038,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026029168
"HTeaO TX-567 - McPherson Crossing, Ft. Worth, TX",TABS2026029144,HTeaO,"SEQ of McPherson Boulevard and Brewer Road, Fort Worth, TX 76123",Tarrant,1/18/2027,7/4/2027,"$1,305,600",New Construction,"This project is privately funded, on private land for private use.","Construction of a new 2176sf HTeaO Tea Bar with a 236sf cooler/freezer, a single lane drive-thru, and a single bay dumpster enclosure with all associated site work.","2,176 ft 2",McPherson Holdings LLC,"251 E SOUTHLAKE BLVD SUITE 100, SOUTHLAKE, Texas 76092",(913) 317-6669,,Interplan LLC,"1 East 22nd Street Suite 400, Lombard, Illinois 60148",(630) 932-2336,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026029144
Grapevine TX Sky Zone Trampoline Park,TABS2026029129,Sky Zone Trampoline Park,"1317 W State Hwy 114, Grapevine, TX 76051",Tarrant,11/20/2026,3/20/2027,"$1,600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior renovation building out new Sky Zone Trampoline Park in existing tenant space,"30,845 ft 2","Tate/114 Shopping Center, Ltd.","3102 MAPLE AVE STE 500, DALLAS, Texas 75201",(214) 720-3613,Chalmer Williams,pb2 architecture + engineering,"PO Box 2076, Rogers, Arkansas 72757",(479) 878-3731,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026029129
Brilliant Sign,TABS2026029126,Euless Town Center,"1201 W. Airport Fwy #301, Euless, TX 76040",Tarrant,9/15/2026,10/15/2026,"$50,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Finish out for printing facility,"3,855 ft 2",DML-RAN ETC LP,"1600 Hwy 6 Ste 200, Sugar Lane, Texas 77478",(346) 803-1100,Brilliant Sign LLC,Vinci Architects & Engineers LLC,"1610 Corporate St., Irving, Texas 75038",512-909-4450,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026029126
38156 7-Eleven Rev1,TABS2026029124,7-Eleven,"3594 N Grapevine Mills Blvd, Grapevine, TX 76051",Tarrant,11/23/2026,12/14/2026,"$100,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Add some new food/beverage equipment, deep clean restrooms, minor décor refreshes, clean exterior, repair parking lot, enhance landscaping","3,062 ft 2",7-Eleven Inc,"3200 Hackberry Rd, Irving, Texas 75063",972-828-7528,,"Sevan Multi-Site Solutions, Inc.","3025 Highland Parkway Suite 850, Downers Grove, Illinois 60515",312-756-7778,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026029124
"AECOM Southlake, TX",TABS2026029086,"550 Reserve Building, Southlake TX","550 Reserve Street #500, Southlake, TX 76092",Tarrant,10/20/2026,4/21/2027,"$3,230,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior tenant improvement renovation of an existing office suite.,"12,500 ft 2",GPI-MT LP,"5601 Granite Parkway #1200, Plano, Texas 75024",(972) 731-2308,,AECOM,"1300 East 9th Street #500, Cleveland, Ohio 44114",312-953-0242,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026029086
Southland,TABS2026029085,Meacham 1,"3901 N Sylvania Ave suite 636, Fort Worth, TX 75254",Tarrant,9/1/2026,11/30/2026,"$4,600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",New dock and warehouse conditioning improvements,"564,387 ft 2",Mercantile Partners,"2650 Meacham Blvd. Suite 360, Fort Worth, Texas 76137",(832) 547-7765,,Meinhardt & Associates Architects,"14643 Dallas Parkway Suite 636 suite 636, Dallas, Texas 75254",(972) 980-8980,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026029085
Narco Office,TABS2026029084,Narco Office,"1320 N. Jarvis Road, Saginaw, TX 76179",Tarrant,9/15/2026,4/30/2027,"$7,000,000",New Construction,"This project is privately funded, on private land for private use.",Two Pre-Engineered Metal Buildings that consist of a Office building connected to a Shop Building with a covered Breezeway. As well as a third Pre-Engineered Metal Building that will be used as a Guard Shack on the property. ,"17,156 ft 2",Jarvis Partners III LP,"1085 JARVIS RD SAGINAW, TX 76179, SAGINAW, Texas 76179",817-232-4220,,"Alliance Architects, Inc.","1600 N Collins Blvd, Richardson, Texas 75080",(972) 223-0400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026029084
The Creek Church,TABS2026029039,The Creek Church,"4901 N. Main St, Fort Worth, TX 76179",Tarrant,11/1/2026,11/1/2027,"$5,300,000",Additions to Existing Building,"This project is privately funded, on private land for private use.","Approximately 17985sf of new addition to an existing place of worship. New addition to comprise of a new worship center, production space, restrooms, common space, storage and delivery space.","17,986 ft 2",Marine Creek Church Inc.,"4901 N. Main St, Fort Worth, Texas 76179",(817) 350-6980,,Oxley Architects,"911 Houston St Suite 201, Fort Worth, Texas 76102",(817) 380-8366,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026029039
1256 N Holland Road - Bldg 200,TABS2026028998,1256 N Holland Road - Bldg 200,"1256 N Holland Road - Bldg 200 Bldg 200, Mansfield, TX 76051",Tarrant,11/2/2026,12/15/2027,"$936,000",New Construction,"This project is privately funded, on private land for private use.",owner to construct an office building for lease to multiple tenants.,"8,741 ft 2","Livingspring Realty, LLC","4815 Quantrill Lane, Mansfield, Texas 76063",(267) 622-5037,,Archon Corporation,"210 N. Park Blvd Suite 100, Mansfield, Texas 76051",(817) 975-9767,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026028998
