project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,tenant_name,design_name,design_address,design_phone,project_url
Magnolia Soap and Bath Co,TABS2024021485,Parkwood @ Alliance Town Center,"3201 Tracewood Way Ste 111, Fort Worth, TX 76177",Tarrant,1/1/2024,5/25/2024,"$850,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Build out for retail shop,"1,393 ft 2",Diem Trinh,"3201 Tracewood Way Ste 111, Fort Worth, Texas 76177",(817) 307-7449,Christine Adeeb,Creativo Designs,"8500 N Stemmons Fwy, Dallas, Texas 75247",(214) 884-8168,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024021485
3548 South Hills Avenue Facade Renovation,TABS2024021476,Westcliff Shopping Center,"3548 South Hills Avenue, Fort Worth, TX 76109",Tarrant,8/1/2024,2/2/2025,"$1,339,270",Renovation/Alteration,"This project is privately funded, on private land for private use.",Facade renovation,"55,811 ft 2",Partners Commercial Real Estate,"1360 Post Oak Boulevard, Suite 1900, Houston, Texas 77056",(713) 275-9637,,m3studio pllc,"3880 Helen Street, Suite 360, Fort Worth, Texas 76107",(817) 733-3513,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024021476
"WALMART 00284.1005 MANSFIELD, TX - ESS PROJECT",TABS2024021455,Walmart,"930 N Walnut Creek Dr #800, Mansfield, TX 76063",Tarrant,4/27/2025,5/23/2025,"$120,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","INSTALL INTERIOR & EXTERIOR DOOR(S), RE-WORK EXISTING EXTERIOR PAVEMENT IN ACCOMMODATION OF NEW EXTERIOR DOOR(S), UPDATE DOOR HARDWARE. 100SqFt",100 ft 2,Walmart,"PO Box 8050, MS0555, Bentonville, Arkansas 72712",(479) 426-5712,,"CESO, Inc","3601 Rigby Rd #300, Miamisburg, Ohio 44322",(937) 435-8584,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024021455
Third Floor Public Corridor,TABS2024021419,Kirkwood Oaks,"3120 Sabre Drive Suite 330, Southlake, TX 76092",Tarrant,7/1/2024,10/14/2024,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Creation of Public Corridor,"4,481 ft 2",Cawley Partners,"16400 Dallas Parkway Suite 150, Dallas, Texas 75249",(972) 759-7715,,Schwabauer Design,"1600 N. Collins Suite 1900, Richardson, Texas 75080",(469) 804-2400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024021419
Spec Suite 330,TABS2024021416,Kirkwood Oaks,"3120 Sabre Drive Suite 330, Southlake, TX 76092",Tarrant,7/1/2024,10/14/2024,"$160,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior office renovation,"3,159 ft 2",Cawley Partners,"16400 Dallas Parkway Suite 150, Dallas, Texas 75249",(972) 759-7715,,Schwabauer Design,"1600 N. Collins Suite 1900, Richardson, Texas 75080",(469) 804-2400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024021416
Spec Suite 320,TABS2024021415,Kirkwood Oaks,"3120 Sabre Drive Suite 320, Southlake, TX 76092",Tarrant,7/1/2024,10/14/2024,"$220,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior office renovation,"4,333 ft 2",Cawley Partners,"16400 Dallas Parkway Suite 150, Dallas, Texas 75249",(972) 759-7715,,Schwabauer Design,"1600 N. Collins Suite 1900, Richardson, Texas 75080",(469) 804-2400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024021415
Spec Suite 315,TABS2024021414,Kirkwood Oaks,"3120 Sabre Drive Suite 315, Southlake, TX 76092",Tarrant,7/1/2024,10/14/2024,"$160,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior office renovation,"3,106 ft 2",Cawley Partners,"16400 Dallas Parkway Suite 150, Dallas, Texas 75249",(972) 759-7715,,Schwabauer Design,"1600 N. Collins Suite 1900, Richardson, Texas 75080",(469) 804-2400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024021414
"GALACTIC SHOWROOM TFO - NRH, TX",TABS2024021413,"GALACTIC SHOWROOM TFO - NRH, TX","8100 BEDFORD EULESS RD STE 100, North Richland Hills, TX 76180",Tarrant,8/1/2024,11/1/2024,"$250,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",GALACTIC GLASS SHOWROOM TENANT FINISH-OUT,"2,639 ft 2","8100 REAL ESTATE VENTURES, LLC","5729 LEBANON ROAD SUITE 144-589, FRISCO, Texas 75034",(214) 718-2626,,"JAW ARCHITECTS, INC.","6115 CAMP BOWIE BLVD STE 200, FORT WORTH, Texas 76116",(817) 705-3387,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024021413
Spec Suite 310,TABS2024021412,Kirkwood Oaks,"3120 Sabre Drive Suite 310, Southlake, TX 76092",Tarrant,7/1/2024,10/14/2024,"$152,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior office renovation,"2,983 ft 2",Cawley Partners,"16400 Dallas Parkway Suite 150, Dallas, Texas 75249",(972) 759-7715,,Schwabauer Design,"1600 N. Collins Suite 1900, Richardson, Texas 75080",(469) 804-2400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024021412
Spec Suite 300,TABS2024021410,Kirkwood Oaks,"3120 Sabre Drive Suite 300, Southlake, TX 75080",Tarrant,7/1/2024,10/14/2024,"$325,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Office Renovation,"6,341 ft 2",Cawley Partners,"16400 Dallas Parkway Suite 150, Dallas, Texas 75249",(972) 759-7715,,Schwabauer Design,"1600 N. Collins Suite 1900, Richardson, Texas 75080",(469) 804-2400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024021410
Spec Suite 200,TABS2024021408,Kirkwood Oaks,"3120 Sabre Drive Suite 200, Southlake, TX 76092",Tarrant,7/1/2024,10/14/2024,"$381,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Office Renovation,"7,464 ft 2",Cawley Partners,"16400 Dallas Parkway Suite 150, Dallas, Texas 75249",(972) 759-7715,,Schwabauer Design,"1600 N. Collins Suite 1900, Richardson, Texas 75080",(469) 804-2400,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024021408
CBC Subunit,TABS2024021371,Medical City Fort Worth,"900 8th Avenue, Fort Worth, TX 76104",Tarrant,7/25/2024,1/23/2025,"$2,900,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Renovation of 6 existing patient rooms and the core of an existing patient unit to create a sub-unit for patients with a specific set of treatment needs.,"4,236 ft 2","Columbia Medical Center of Fort Worth, Subsidiary, L.P. dba Medical City Fort Worth","900 8th Avenue, Fort Worth, Texas 76104",(817) 347-4571,,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024021371
"Basswood 4, PGS 360",TABS2024021358,"Basswood 35, Building 4","7301 N Freeway, Fort Worth, TX 76131",Tarrant,7/20/2024,9/20/2024,"$150,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Interior Build out in an existing building,"1,919 ft 2",East Group Properties,"7301 N Street Highway 161  Suite 215, Irving, Texas 75039",(972) 386-8700,,Method Architecture,"3227 McKinney Ave, Suite 201, Dallas, Texas 75204",(214) 790-7171,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024021358
Rosewood & Beltmill Phase 2,TABS2024021345,Rosewood & Beltmill - Phase 2,"Beltmill Parkway and north of W Bailey-Boswell Rd, Fort Worth, TX 76179",Tarrant,10/1/2023,7/31/2024,"$235,000",New Construction,"This project is privately funded, on private land for private use.","Subdivision Improvements - paving, water, sanitary sewer, storm drainage and franchise utilities - 24 total curb ramps","1,800 ft 2",D.R. Horton - TX LTD,"6751 N Freeway, Fort Worth, Texas 76131",(817) 966-0842,,Pelton Land Solutions,"9800 Hillwood Parkway, Suite 250, Fort Worth, Texas 76177",817-269-1500,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024021345
ES Fencing Adds & Modifications Multi Campus,TABS2024021338,J A Hargrave Elementary School,"9200 Poynter St, Fort Worth, TX 76123",Tarrant,1/25/2024,7/8/2024,"$172,728",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Adding fencing around playground areas. Card access for gates to playground.,"1,500 ft 2",Crowley I.S.D.,"1900 Crowley Pride Drive, Fort Worth, Texas 76134",817-297-5800,,"VLK Architects, Inc.","1320 Hemphill St, Suite 400, Fort Worth, Texas 76109",(817) 633-1600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024021338
ES Fencing Adds & Modifications Multi Campus,TABS2024021337,Bess Race Elementary School,"537 S Heights Dr, Crowley, TX 76036",Tarrant,1/25/2024,7/8/2024,"$172,728",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Adding fencing around playground areas. Card access for gates to playground.,"1,500 ft 2",Crowley I.S.D.,"1900 Crowley Pride Drive, Fort Worth, Texas 76134",817-297-5800,,"VLK Architects, Inc.","1320 Hemphill St, Suite 400, Fort Worth, Texas 76109",(817) 633-1600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024021337
ES Fencing Adds & Modifications Multi Campus,TABS2024021336,S.H. Crowley Elementary School,"10525 McCart Ave, Crowley, TX 76036",Tarrant,1/25/2024,7/8/2024,"$172,728",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Adding fencing around playground areas. Card access for gates to playground.,"1,500 ft 2",Crowley I.S.D.,"1900 Crowley Pride Drive, Fort Worth, Texas 76134",817-297-5800,,"VLK Architects, Inc.","1320 Hemphill St, Suite 400, Fort Worth, Texas 76109",(817) 633-1600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024021336
ES Fencing Adds & Modifications Multi Campus,TABS2024021334,Sue Crouch Elementary School,"8036 Cedar Lake Ln, Fort Worth, TX 76123",Tarrant,1/25/2024,7/8/2024,"$172,728",Renovation/Alteration,"This project involves public funds, public land, or is a Federally funded roadway project.",Adding fencing around playground areas. Card access for gates to playground.,"2,000 ft 2",Crowley I.S.D.,"1900 Crowley Pride Drive, Fort Worth, Texas 76134",817-297-5800,,"VLK Architects, Inc.","1320 Hemphill St, Suite 400, Fort Worth, Texas 76109",(817) 633-1600,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2024021334
