ProjectId,ProjectNumber,ProjectName,ProjectCreatedOn,ProjectStatus,FacilityName,City,County,TypeOfWork,EstimatedCost,DataVersionId,EstimatedStartDate,EstimatedEndDate,URL
0b106e12-06cd-4ba7-8603-eecaaa42540b,TABS2025011409,135 South Main - Keller,2025-02-07T14:55:15.067,3008,135 South Main,859,2220,9002,250000.0,900001,2025-03-01T00:00:00,2025-07-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011409
1a15b4d2-6679-47d5-97e6-49b7de7c2efb,TABS2025011391,LJA ENGINEERING - FORT WORTH TI,2025-02-07T13:50:30.507,3008,HILLWOOD COMMONS II,606,2220,9001,1360000.0,900001,2025-03-04T00:00:00,2025-07-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011391
0b996db0-c0a5-460d-930c-cd57f8362611,TABS2025011390,Randol Mill Avenue Waterline and Sidewalk Improvement Project,2025-02-07T13:50:22.25,3008,Waterline and Sidewalk Improvements,1643,2220,9001,1430900.0,900001,2025-05-01T00:00:00,2025-08-13T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011390
c1de8a50-cb98-4e46-9a99-0b261b97cff7,TABS2025011388,2022 Bond Year 3-Contract 16,2025-02-07T13:41:07.177,3008,N/A,606,2220,9002,400000.0,900001,2025-12-01T00:00:00,2027-04-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011388
3d6707e0-a4be-4a6e-9e79-0e2222dea771,TABS2025011386,TCCD NWCR - NW02 Foodservice Renovation,2025-02-07T13:27:07.313,3008,TCCD NWCR - NW02 Foodservice Renovation,606,2220,9002,982682.0,900001,2025-03-03T00:00:00,2025-12-31T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011386
3bb0d22d-0283-4dd6-b07b-df4f317b9302,TABS2025011363,Leon Capital Group - Riverbend - Building 2 - Spec Office,2025-02-07T10:48:58.067,3008,Riverbend Building 2,606,2220,9002,500000.0,900001,2025-02-28T00:00:00,2025-05-28T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011363
23e0037e-7b37-4194-8325-d41862ec0f5e,TABS2025011317,2023 Sidewalk Unit Price Construction Contract (#2),2025-02-06T20:24:19.253,3008,City of Fort Worth ROW,606,2220,9002,676369.0,900001,2024-08-25T00:00:00,2025-03-01T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011317
98f4a61d-66b7-43e7-b848-9c597fa4dbfe,TABS2025011303,Arlington Business Center - Building 3,2025-02-06T17:47:09.183,3008,Building 3,62,2220,9001,7850000.0,900001,2025-05-01T00:00:00,2026-01-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011303
9b82b31d-20b0-4e7b-84b9-e1c1304c6356,TABS2025011297,Romatix,2025-02-06T17:01:24.733,3008,Romatix,62,2220,9002,80000.0,900001,2024-10-01T00:00:00,2025-02-14T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011297
a888e812-3500-4b1f-b50b-284ac370a75c,TABS2025011288,Marriott Westlake - Outdoor Bar,2025-02-06T16:10:10.023,3008,Marriott,1858,2220,9002,105000.0,900001,2025-03-31T00:00:00,2025-06-30T00:00:00,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025011288
