project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,design_name,design_address,design_phone,project_url,tenant_name
Gateway Tire,TABS2026005417,Mark IV Commerce Park Building 3,"2121 Providence Drive, Fort Worth, TX 76106",Tarrant,11/27/2025,1/23/2026,"$7,000,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Addition of suspended ceiling to existing warehouse.  86,612 sf.","86,612 ft 2",DG Industrial Portfolio III Property Owner L.P.,"17304 Preston Road, Suite 550, Dallas, Texas 75252",(972) 733-6943,Azimuth Architecture,"10228 E Northwest Hwy, Box #66, Dallas, Texas 75238",(214) 261-9060,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005417,
SpawGlass Office Renovation,TABS2026005416,SpawGlass Office,"3001 Alemeda Street, Fort Worth, TX 76116",Tarrant,12/1/2025,6/24/2026,"$350,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior renovations to an existing building to include office, breakroom, restrooms, and support spaces. ","1,600 ft 2","SG Real Estate EAT, LLC","9331 Corporate Dr, Selma, Texas 78154",(210) 385-8319,BRW Architects,"3535 Travis St. Suite 250, Dallas, Texas 75204",(214) 528-8704,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005416,
Primrose Office Park - Building 3,TABS2026005411,Building 3,"860 S Village Center Dr, Southlake, TX 76092",Tarrant,1/5/2026,1/29/2027,"$1,200,000",New Construction,"This project is privately funded, on private land for private use.","New construction of a 2-story, slab-on-grade, wood framed office building.","8,000 ft 2","Primrose Office III, LLC","850 S Village Center, Southlake, Texas 76092",(817) 769-2580,"Wilder Architects, LLC","16904 Club Hill Dr, Dallas, Texas 75248",(214) 616-5196,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005411,
Chisholm Trail Ranch,TABS2026005363,Lot 7 - Block 7 - Juan Jose Albirado Survey,"6001 Retail Way, Fort Worth, TX 76123",Tarrant,7/1/2026,12/31/2026,"$3,000,000",New Construction,"This project is privately funded, on private land for private use.","Ground up 2,705 square foot Murphy USA convenience store with gas sales and associated site improvements.","2,705 ft 2","Chisholm Trail Center, LP","7001 Preston Road, Suite 410, Dallas, Texas 75205",214-224-4600,The Dimension Group,"10755 Sandhill Road, Dallas, Texas 75238",214-600-1152,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005363,Bassam Ziada
MN8 - Keller Town Center,TABS2026005358,Keller Town Center,"101 Town Center Ln, Keller, TX 76248",Tarrant,11/20/2025,1/20/2026,"$250,000",New Construction,"This project is privately funded, on private land for private use.","Installation of 5 alpitronic HYC400 Dual port dispensers, 6 smart poles, 1 electrical switchboard, 1 utility transformer and 2 trashcans","2,024 ft 2","Regency Centers, LP","PO Box 676473, Dallas, Texas 75267",(713) 599-3515,Dewberry Engineers Inc,"4835 LBJ Freeway #475, Dallas, Texas 75244",(617) 531-0765,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005358,Ashley Broek
Glenview Garages,TABS2026005354,Glenview Garages,"4316 Glenview Dr, Haltom City, TX 76117",Tarrant,1/6/2026,4/30/2026,"$200,931",New Construction,"This project is privately funded, on private land for private use.",Construction of a new light industrial building project,"3,895 ft 2",Texas4 2022 LLC,"810 E Central Lane Ste 120, Meridian, Idaho 83642",(208) 866-0166,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005354,
Euless Trinity TI Spec Office,TABS2026005345,Euless Trinity,"3850 Tarrant Main St., Euless, TX 76040",Tarrant,11/24/2025,2/20/2026,"$611,617",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant Improvement Speculative Office in existing warehouse shell building.,"3,588 ft 2",LCG21 TRINITY II LLC,"3500 MAPLE AVE STE 1600, Dallas, Texas 75219",(214) 489-7167,"Downs Design Solutions, LLC","801 East Campbell Rd. Campbell Forum 1 STE 600, Richardson, Texas 75081",(281) 401-9497,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005345,
JDA Collins St.,TABS2026005323,JDA Collins St.,"8101 S. Collins St., Arlington, TX 76002",Tarrant,12/17/2025,1/30/2027,"$10,403,460",New Construction,"This project is privately funded, on private land for private use.","Development of a new, 2-story ground-up self-storage facility on a 5.057 acre site.","112,954 ft 2","Johnson Development Associates, Inc.","One Morgan Square, 100 Dunbar St., Spartanburg, South Carolina 29306",(864) 706-6922,Merriman Anderson Architects,"300 North Field Street, Dallas, Texas 75202",(214) 347-8102,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005323,
"Wonder 6 Playground - Fort Worth, TX",TABS2026005312,Wonder 6 Playground,"5264 Trail Lake Drive, Suite A, Fort Worth, TX 76133",Tarrant,11/30/2025,2/28/2026,"$600,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Scope of work is for a 14,306 sq ft interior remodel for a children's playground.","14,306 ft 2",Benbrooke Wedgwood Partners,"4 W Red Oak Ln, White Plans, New York 10604",469-607-1370,Franz Architects,"7608 Benbrook Parkway, Benbrook, Texas 76126",(817) 737-9922,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005312,Trent Liu
Middlebrook Interior Renovation,TABS2026005278,611 S. Main Street Grapevine,"611 S. Main St., Grapevine, TX 76051",Tarrant,12/15/2025,3/15/2026,"$705,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Office Interior Renovation,"12,587 ft 2",Grape Office LLC,"611 S. Main Street, Grapevine, Texas 76051",(281) 728-7147,ARCHITEXAS,"1907 Marilla St. Second Floor, Dallas, Texas 75201",(214) 748-4561,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005278,
GRACE POINT CHURCH OF HASLET,TABS2026005272,GRACE POINT CHURCH OF HASLET,"209 SCHOOL HOUSE ROAD, Haslet, TX 76052",Tarrant,12/1/2025,5/29/2026,"$150,000",Additions to Existing Building,"This project is privately funded, on private land for private use.",NEW ADDITION TO EXISTING BUILDING,"1,900 ft 2",GRACE POINT CHURCH,"209 SCHOOL HOUSE ROAD, HASLET, Texas 76052",(817) 975-5718,CLASSIC DESIGN GROUP,"4142 BRITON COURT, GRAND PRAIRIE, Texas 75052",(817) 999-7351,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005272,
IHOP/Applebee's -Euless Tx,TABS2026005257,IHOP/Applebee's,"2309 W Airport Freeway, Euless, TX 76040",Tarrant,1/29/2026,6/30/2026,"$300,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",alteration to an existing building ,"4,332 ft 2",Coffee 28 LLC,"2309 West Airport Freeway, Euless, Texas 76040",(817) 540-0719,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005257,
Id Technology,TABS2026005254,ID technology,"5051 n sylvania ave, Fort Worth, TX 76137",Tarrant,11/17/2025,11/24/2025,"$8,093,853",Renovation/Alteration,"This project is privately funded, on private land for private use.",Installing a pallet racking system,"20,000 ft 2",EASTGROUP PROPERTIES LP,"6565 N. MacArthur Blvd #255, Irving, Texas 75039",972-386-8700,,,,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2026005254,
