project_name,project_number,facility_name,location_address,location_county,start_date,completion_date,est_cost,work_type,fund_type,scope,sq_ft,own_name,own_address,own_phone,project_url,tenant_name,design_name,design_address,design_phone
Countryside Bible Classroom Renovation,TABS2025022744,Countryside Bible Church,"250 Countryside Ct #4317, Southlake, TX 76092",Tarrant,8/18/2025,11/30/2025,"$90,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Minor interior remodel and renovation consisting of the construction of new interior walls, new finishes to match existing, removal and reinstallation of existing lights. A new exterior entry door will also be added.","4,700 ft 2",Countryside Bible Church,"250 Countryside Court, Southlake, Texas 76092",469.712.1326,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022744,,,,
FWFH Accessory Building,TABS2025022712,Fort Worth Funeral Home,"3208 Bishop Dr., Arlington, TX 76010",Tarrant,7/3/2025,8/18/2025,"$125,000",New Construction,"This project is privately funded, on private land for private use.",Accessory building for housing coolers and a storage room. Simple 20'x60' rectangular metal building. ,"1,200 ft 2",Fort Worth Funeral Home,"3208 Bishop Dr., Arlington, Texas 76010",(682) 401-5247,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022712,,,,
TETON RIDGE,TABS2025022674,THE ARMOUR,"601 E. EXCHANGE AVE. SUITE 200, Fort Worth, TX 76164",Tarrant,7/28/2025,12/15/2025,"$4,228,480",Renovation/Alteration,"This project is privately funded, on private land for private use.",INTERIOR FINISH-OUT FOR BROADCAST STUDIOS AND OFFICE SPACE,"14,000 ft 2",D1 REAL ESTATE,"601 E. EXCHANGE AVE. SUITE 100, FORT WORTH, Texas 76164",817.821.4709,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022674,TAMMY POLK,BENNETT PARTNERS,"640 TAYLOR STREET SUITE 2323, Fort Worth, Texas 76102",817.335.4991
Primark Forklift Install - Concrete Permit,TABS2025022636,Parks at Arlington,"3881 S COOPER STREET Sute 1020, Arlington, TX 76015",Tarrant,8/1/2025,1/8/2026,"$145,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Space 1020, Primark Retail store - SOW at the loading area at the back of the store to install a concrete pad for the lift to sit on and a bit of fencing around the concrete pad to keep the forklift in place - nothing in the ROW",260 ft 2,"Parks at Arlington, LP","PO Box 101042, Chicago, Illinois 60610",(817) 767-4281,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022636,,,,
Cook Children's 901 Level 1 BHAC,TABS2025022619,Cook Children's 901 Level 1 BHAC,"901 7th Avenue, Fort Worth, TX 76104",Tarrant,7/14/2025,10/14/2025,"$750,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",interior renovation providing 3 Behavioral Health Intake Rooms and offices for a new Behavioral Health Assessment Center on the first floor of Cook Children's 901 7th Ave. Building,"2,778 ft 2",Cook Children's Health Care System,"801 Seventh Ave. System Administration Building, Fort Worth, Texas 76104",682-885-4021,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022619,,"Page Southerland Page, Inc.","1800 Main Street, Suite 123, Dallas, Texas 75201",(214) 522-3900
4949 Byers,TABS2025022572,4949 Byers,"4949 Byers Ave, Fort Worth, TX 76107",Tarrant,8/4/2025,3/2/2026,"$675,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","INTERIOR RENOVATION TO EXISTING BUILDING WITH FACADE IMPROVEMENTS AND EXTERIOR WORK. INCLUDES MECHANICAL, ELECTRICAL, AND PLUMBING.","3,781 ft 2",4949 Byers Investment LLC,"5114 Camp Bowie, Fort Worth, Texas 76107",817-332-0032,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022572,,97w,"901 S Main St, Fort Worth, Texas 76104",(817) 882-6940
220 n mitchell rd office building,TABS2025022555,220 n mitchell rd office building,"220 n mitchell rd, Mansfield, TX 76063",Tarrant,9/1/2025,6/1/2026,"$1,075,000",New Construction,"This project is privately funded, on private land for private use.",new spec office building,"6,600 ft 2","texolina properties, llc","240 n mitchell st, mansfield, Texas 76063",(817) 705-5889,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022555,,,,
32 DYNAGRID,TABS2025022543,777 MAIN STREET,"777 MAIN STREET, Fort Worth, TX 76102",Tarrant,7/31/2025,10/23/2025,"$475,050",Renovation/Alteration,"This project is privately funded, on private land for private use.",fit out of vacancy suite for tenant,"6,334 ft 2","F7 SSSM, LLC","3455 PEACHTREE, ATLANTA, Georgia 30326",(817) 321-1100,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022543,,JACOBS,"777 MAIN STREET SUITE 2300, FORT WORTH, Texas 76102",(719) 684-6980
Cara Blanca Meat Market,TABS2025022537,Fossil Creek Shopping Center,"5610 Denton Hwy., Haltom City, TX 76148",Tarrant,8/1/2025,3/2/2026,"$400,000",Renovation/Alteration,"This project is privately funded, on private land for private use.",Tenant finish out of existing shell building for a new Meat Market.,"5,937 ft 2",GUSTAFSON PARTNERS LTD,"2653 AUSTIN HWY, SAN ANTONIO, Texas 78128",(210) 464-1418,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022537,Joel Ortega,"OKM Engineering, Inc.","811 E 9th St., Dallas, Texas 75203",214.941.9412
NIC,TABS2025022532,NIC,"2004 W SUBLETT ROAD, Arlington, TX 76017",Tarrant,10/1/2025,10/1/2027,"$1,000,000",New Construction,"This project is privately funded, on private land for private use.","CONSTRUCTION OF NEW BUILDING OF ROUGHLY 7,400 SF","7,400 ft 2",NURSI ISLAMIC CENTER,"2004 W SUBLETT ROAD, Arlington, Texas 76017",(817) 875-4596,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022532,,Studio Mas Architects PLLC,"10440 E NW Hwy Suite 301, Dallas, Texas 75238",(214) 669-4684
Copper Ranch Retail - Building B,TABS2025022531,Building B,"E Bonds Ranch Rd.,, Fort Worth, TX 76052",Tarrant,1/20/2026,7/19/2026,"$3,250,000",New Construction,"This project is privately funded, on private land for private use.",New Construction for a retail shell building ,"11,972 ft 2",Direct Retail Partners,"12221 Merit Drive Suite 1220, Dallas, Texas 75251",214-979-3346,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022531,,O'Brien Architects,"1722 Routh Street Suite 122, Dallas, Texas 75201",972-788-1010
Copper Ranch Retail - Building A,TABS2025022529,Building A,"E Bonds Ranch Rd., Fort Worth, TX 76052",Tarrant,1/20/2026,7/19/2026,"$3,250,000",New Construction,"This project is privately funded, on private land for private use.",New Construction for a Retail building ,"12,037 ft 2",Direct Retail Partners,"12221 Merit Drive Suite 1220, Dallas, Texas 75251",214-979-3346,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022529,,O'Brien Architects,"1722 Routh Street` Suite 122, Dallas, Texas 75201",972-788-1010
"Pantego Christian Academy Synthetic Turf, Track, lighting, and Bleachers",TABS2025022528,Pantego Christian Academy,"2201 W Park Row Dr., Arlington, TX 78613",Tarrant,5/1/2025,2/28/2026,"$2,987,800",New Construction,"This project is privately funded, on private land for private use.","Construct Field Synthetic Turf, Track, lighting, and Bleachers","11,078 ft 2",Pantego Christian Academy,"2201 W Park Row Dr., Arlington, Texas 76013",(817) 460-3315,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022528,,Glenn Engineering,"4500 Fuller Dr. Suite 220, Irving, Texas 75038",(972) 717-5151
FedEx Network 2.0 Retrofit Program - Grand Prairie,TABS2025022499,FedEx,"2802 Osler Drive, Grand Prairie, TX 75051",Tarrant,7/22/2025,9/1/2025,"$464,069",Renovation/Alteration,"This project is privately funded, on private land for private use.","Site Work, Concrete, Metals, Doors and Hardware, Painting, Plumbing, Electrical, Fencing, Paving. 2000SF","2,000 ft 2",FedEx,"1000 FedEx Drive, Moon Township, Pennsylvania 15108",(724) 809-9689,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022499,,Broadstone Design Group,"425 Pinson Rd Suite M-104, Forney, Texas 75126",214-709-7016
HUMMUS REPUBLIC,TABS2025022481,FOCH STREET WAREHOUSES,"851 FOCH STREET, STE. 145A, Fort Worth, TX 76107",Tarrant,10/1/2025,1/1/2026,"$205,000",New Construction,"This project is privately funded, on private land for private use.",First Generation Build Out for a Restaurant Space. 2163 Sq Ft.,"2,163 ft 2","AP FW Foch, LP","2151 Hawking Street, Suite 100, Charlotte, North Dakota 28203",(386) 697-4141,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022481,Sara De La Cruz,"David Hiatt, Architect","902 Goodrich Ave, Sarasota, Florida 34236",(813) 333-2717
Sunglass Hut - Grand Prairie,TABS2025022478,Grand Prairie Premium Outlets,"2950 W. Interstate 20, Ste 300, Grand Prairie, TX 75052",Tarrant,1/26/2026,3/3/2026,"$72,120",Renovation/Alteration,"This project is privately funded, on private land for private use.","Commercial interior remodel involves removing existing interior walls and ceiling tiles, then installing new non-load-bearing partitions, acoustical ceilings, and upgraded finishes throughout. The existing code-compliant restroom will remain unchange","1,202 ft 2",Simon Property Group,"225 West Washington Street, Indianapolis, Indiana 46204",(317) 954-9772,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022478,Luxottica,Valerio Architects,"5858 Wilshire Blvd, Los Angeles, California 90036",(323) 954-8996
Cook Children's South Utility Plant Expansion,TABS2025022465,Cook Childrens Medical Center,"1000 6th Avenue, Fort Worth, TX 76104",Tarrant,9/15/2025,2/5/2026,"$96,642,156",Additions to Existing Building,"This project is privately funded, on private land for private use.","This is a 36,860 SF Addition to the existing south utility plant on campus, including a new utility conduit to the future west tower on campus. ","36,860 ft 2",Cook Childrens Medical Center,"801 7th Avenue, Fort Worth, Texas 76104",(682) 885-4021,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022465,,HKS Inc,"1227 W. Magnolia Suite 200, Fort Worth, Texas 76104",(214) 578-2363
Dodson L2 Urology,TABS2025022458,Cook Children's Medical Center,"801 Seventh Ave., Fort Worth, TX 76104",Tarrant,7/16/2025,11/26/2025,"$208,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Renovation of existing offices to become exam rooms. Installation of new sink, sliding door, and millwork to each new exam room. 230 Sq Ft",230 ft 2,Cook Children's Healthcare System,"801 Seventh Ave., Fort Worth, Texas 76104",682-885-4021,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022458,,"Smith Seckman Reid, Inc.","1300 Summit Avenue Suite 225, Fort Worth, Texas 76102",(214) 790-3282
ADVANCED ENDODONTICS OF TEXAS,TABS2025022437,MEDICAL OFFICE BUILDING,"1679 KELLER PARKWAY, Keller, TX 76248",Tarrant,9/15/2025,12/15/2026,"$1,300,000",New Construction,"This project is privately funded, on private land for private use.",SINGLE STORY MEDICAL OFFICE BUILDING,"5,200 ft 2",230 HOLDINGS LLC,"1674 KELLER PARKWAY SUITE 100, KELLER, Texas 76248",(817) 562-4141,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022437,,"Thrasher Works, LLC","351 W Jefferson Blvd Suite 601, Dallas, Texas 75208",(214) 293-3498
Intl Plaza Ste 300 - Benesh Offices,TABS2025022403,Intl Plaza Ste 300 - Benesh Offices,"4055 INTERNATIONAL PLAZA, SUITE #300, Fort Worth, TX 76109",Tarrant,8/1/2025,9/12/2025,"$406,000",Renovation/Alteration,"This project is privately funded, on private land for private use.","Interior finish-out of an existing commercial suite. Work includes new space plan layout, interior finishes, millwork, doors and hardware, ceiling, lighting, and MEP adjustments to accommodate the new layout.","4,773 ft 2","Bill Arias / Bobby Cox Companies, Inc","5000 Overton Plaza, Suite 100, Fort Worth, Texas 76109",817-377-6230,https://www.tdlr.texas.gov/TABS/Search/Project/TABS2025022403,,VLK,"1320 Hemphill St Suite 400, Fort Worth, Texas 76104",(817) 633-1600
